rank,source,title,reward,currency,payment_type,estimated_hours,payment_probability,execution_probability,eligibility_probability,receipt_probability,expected_receivable_value,revenue_velocity,direct_executability_score,queue_priority,requires_human_action,status,url,source_file,source_row,generated_at
11,AI Agent Bounties,🎯 Bounty Alert: 31 New Opportunities — 2026-07-15 03:21 UTC,150.0,USD,unknown,4.0,60.0,55.0,70.0,75.0,25.9875,6.496875,63.75,713.4375,True,pending_human_review,https://github.com/greyw0rks/bountyscout/issues/265,C:\Users\AP10\AI-Network-Lab-Brain\01_GLOBAL_REVENUE_BRAIN\04_OPPORTUNITIES\priority_opportunities.csv,21,2026-07-17T19:32:34.135309+00:00
12,AI Agent Bounties,[BOUNTY $100] 🐜The Memanto Bug & Exploit Challenge,100.0,USD,unknown,4.0,60.0,55.0,70.0,75.0,17.325,4.33125,63.75,496.875,True,pending_human_review,https://github.com/moorcheh-ai/memanto/issues/770,C:\Users\AP10\AI-Network-Lab-Brain\01_GLOBAL_REVENUE_BRAIN\04_OPPORTUNITIES\priority_opportunities.csv,2,2026-07-17T19:32:34.129311+00:00
13,MCP Paid Opportunities,Wayfinder map: alpha → beta launch,99.0,USD,unknown,4.0,60.0,55.0,70.0,75.0,17.15175,4.2879375,63.75,492.54375,True,pending_human_review,https://github.com/cameronapak/dotflowy/issues/151,C:\Users\AP10\AI-Network-Lab-Brain\01_GLOBAL_REVENUE_BRAIN\04_OPPORTUNITIES\priority_opportunities.csv,26,2026-07-17T19:32:34.136309+00:00
14,MCP Paid Opportunities,Ops dashboard,55.0,USD,unknown,4.0,60.0,55.0,70.0,75.0,9.52875,2.3821875,63.75,301.96875,True,pending_human_review,https://github.com/ModelMirrorAI/fedcourtsai/issues/630,C:\Users\AP10\AI-Network-Lab-Brain\01_GLOBAL_REVENUE_BRAIN\04_OPPORTUNITIES\priority_opportunities.csv,25,2026-07-17T19:32:34.136309+00:00
15,GitHub Bounty Issues,Write unit tests for user routes,50.0,USD,unknown,4.0,60.0,55.0,70.0,75.0,8.6625,2.165625,63.75,280.3125,True,pending_human_review,https://github.com/xevrion-v2/agent-playground/issues/12,C:\Users\AP10\AI-Network-Lab-Brain\01_GLOBAL_REVENUE_BRAIN\04_OPPORTUNITIES\priority_opportunities.csv,47,2026-07-17T19:32:34.142308+00:00
16,GitHub Bounty Issues,Normalize health check response shape,50.0,USD,unknown,4.0,60.0,55.0,70.0,75.0,8.6625,2.165625,63.75,280.3125,True,pending_human_review,https://github.com/xevrion-v2/agent-playground/issues/8,C:\Users\AP10\AI-Network-Lab-Brain\01_GLOBAL_REVENUE_BRAIN\04_OPPORTUNITIES\priority_opportunities.csv,48,2026-07-17T19:32:34.142308+00:00
17,GitHub Bounty Issues,Document environment variables,50.0,USD,unknown,4.0,60.0,55.0,70.0,75.0,8.6625,2.165625,63.75,280.3125,True,pending_human_review,https://github.com/xevrion-v2/agent-playground/issues/4,C:\Users\AP10\AI-Network-Lab-Brain\01_GLOBAL_REVENUE_BRAIN\04_OPPORTUNITIES\priority_opportunities.csv,49,2026-07-17T19:32:34.142308+00:00
18,GitHub Bounty Issues,Improve API route TODO coverage,50.0,USD,unknown,4.0,60.0,55.0,70.0,75.0,8.6625,2.165625,63.75,280.3125,True,pending_human_review,https://github.com/xevrion-v2/agent-playground/issues/10,C:\Users\AP10\AI-Network-Lab-Brain\01_GLOBAL_REVENUE_BRAIN\04_OPPORTUNITIES\priority_opportunities.csv,50,2026-07-17T19:32:34.142308+00:00
19,GitHub Bounty Issues,Improve Prisma schema comments,50.0,USD,unknown,4.0,60.0,55.0,70.0,75.0,8.6625,2.165625,63.75,280.3125,True,pending_human_review,https://github.com/xevrion-v2/agent-playground/issues/5,C:\Users\AP10\AI-Network-Lab-Brain\01_GLOBAL_REVENUE_BRAIN\04_OPPORTUNITIES\priority_opportunities.csv,51,2026-07-17T19:32:34.143308+00:00
20,AI Agent Bounties,🎯 Bounty Alert: 30 New Opportunities — 2026-07-14 10:46 UTC,28.4,USD,unknown,4.0,60.0,55.0,70.0,75.0,4.9203,1.230075,63.75,186.7575,True,pending_human_review,https://github.com/greyw0rks/bountyscout/issues/256,C:\Users\AP10\AI-Network-Lab-Brain\01_GLOBAL_REVENUE_BRAIN\04_OPPORTUNITIES\priority_opportunities.csv,16,2026-07-17T19:32:34.133309+00:00
21,GitHub Paid Issues,Automatic authoritative external-billing Subscription adoption (CODEX...,6.0,USD,unknown,4.0,60.0,55.0,70.0,75.0,1.0395,0.259875,63.75,89.7375,True,pending_human_review,https://github.com/jaywedgeworth22/api-usage-monitor/issues/285,C:\Users\AP10\AI-Network-Lab-Brain\01_GLOBAL_REVENUE_BRAIN\04_OPPORTUNITIES\priority_opportunities.csv,27,2026-07-17T19:32:34.136309+00:00
22,MCP Paid Opportunities,[2 USDC autonomous bounty] Complete an independent-relayer paid loop,2.01,USD,unknown,4.0,60.0,55.0,70.0,75.0,0.3482325,0.08705812,63.75,72.455812,True,pending_human_review,https://github.com/NSPG13/agent-bounties/issues/250,C:\Users\AP10\AI-Network-Lab-Brain\01_GLOBAL_REVENUE_BRAIN\04_OPPORTUNITIES\priority_opportunities.csv,13,2026-07-17T19:32:34.132310+00:00
23,MCP Paid Opportunities,[UNFUNDED: 0/2.01 USDC] Complete a machine-API paid loop,2.01,USD,unknown,4.0,60.0,55.0,70.0,75.0,0.3482325,0.08705812,63.75,72.455812,True,pending_human_review,https://github.com/NSPG13/agent-bounties/issues/249,C:\Users\AP10\AI-Network-Lab-Brain\01_GLOBAL_REVENUE_BRAIN\04_OPPORTUNITIES\priority_opportunities.csv,14,2026-07-17T19:32:34.133309+00:00
24,MCP Paid Opportunities,[2 USDC autonomous bounty] Complete a browser-wallet paid loop,2.0,USD,unknown,4.0,60.0,55.0,70.0,75.0,0.3465,0.086625,63.75,72.4125,True,pending_human_review,https://github.com/NSPG13/agent-bounties/issues/248,C:\Users\AP10\AI-Network-Lab-Brain\01_GLOBAL_REVENUE_BRAIN\04_OPPORTUNITIES\priority_opportunities.csv,15,2026-07-17T19:32:34.133309+00:00
25,execution_candidate_ranking,Low Handing Fruit Automation,0.0,USD,unknown,4.0,100.0,55.0,70.0,75.0,0.0,0.0,71.75,71.75,True,pending_human_review,https://github.com/SecureBananaLabs/bug-bounty/issues/743,C:\Users\AP10\AI-Network-Lab-Brain\01_GLOBAL_REVENUE_BRAIN\04_OPPORTUNITIES\execution_candidate_ranking.csv,2,2026-07-17T19:32:33.705385+00:00
26,payment_probability_ranking,Low Handing Fruit Automation,0.0,USD,unknown,4.0,100.0,55.0,70.0,75.0,0.0,0.0,71.75,71.75,True,pending_human_review,https://github.com/SecureBananaLabs/bug-bounty/issues/743,C:\Users\AP10\AI-Network-Lab-Brain\01_GLOBAL_REVENUE_BRAIN\04_OPPORTUNITIES\payment_probability_ranking.csv,2,2026-07-17T19:32:34.083319+00:00
27,GitHub Paid Issues,Support actual payment amount confirmation and rate-shift tracking for foreign scheduled expenses,1.76,USD,unknown,4.0,60.0,55.0,70.0,75.0,0.30492,0.07623,63.75,71.373,True,pending_human_review,https://github.com/pedrazamiguez/split-trip/issues/1400,C:\Users\AP10\AI-Network-Lab-Brain\01_GLOBAL_REVENUE_BRAIN\04_OPPORTUNITIES\priority_opportunities.csv,23,2026-07-17T19:32:34.135309+00:00
28,execution_plan_queue,Low Handing Fruit Automation,0.0,USD,unknown,4.0,90.53,55.0,70.0,75.0,0.0,0.0,69.86,69.86,True,pending_human_review,https://github.com/SecureBananaLabs/bug-bounty/issues/743,C:\Users\AP10\AI-Network-Lab-Brain\01_GLOBAL_REVENUE_BRAIN\04_OPPORTUNITIES\execution_plan_queue.csv,2,2026-07-17T19:32:33.727381+00:00
29,GitHub Bounty Issues,[0.10 USDC autonomous meta-bounty] Post a funded agent-tooling bounty completed by another wallet,0.11,USD,unknown,4.0,60.0,55.0,70.0,75.0,0.0190575,0.00476437,63.75,64.226438,True,pending_human_review,https://github.com/NSPG13/agent-bounties/issues/273,C:\Users\AP10\AI-Network-Lab-Brain\01_GLOBAL_REVENUE_BRAIN\04_OPPORTUNITIES\priority_opportunities.csv,3,2026-07-17T19:32:34.130310+00:00
30,MCP Paid Opportunities,[0.10 USDC autonomous bounty] Complete a wallet claim-to-payout canary,0.11,USD,unknown,4.0,60.0,55.0,70.0,75.0,0.0190575,0.00476437,63.75,64.226438,True,pending_human_review,https://github.com/NSPG13/agent-bounties/issues/275,C:\Users\AP10\AI-Network-Lab-Brain\01_GLOBAL_REVENUE_BRAIN\04_OPPORTUNITIES\priority_opportunities.csv,4,2026-07-17T19:32:34.130310+00:00
31,GitHub Bounty Issues,[0.10 USDC autonomous meta-bounty] Create a paid coding-bounty loop,0.11,USD,unknown,4.0,60.0,55.0,70.0,75.0,0.0190575,0.00476437,63.75,64.226438,True,pending_human_review,https://github.com/NSPG13/agent-bounties/issues/274,C:\Users\AP10\AI-Network-Lab-Brain\01_GLOBAL_REVENUE_BRAIN\04_OPPORTUNITIES\priority_opportunities.csv,5,2026-07-17T19:32:34.130310+00:00
32,MCP Paid Opportunities,[0.10 USDC autonomous bounty] Complete an MCP-discovered claim-to-payout canary,0.11,USD,unknown,4.0,60.0,55.0,70.0,75.0,0.0190575,0.00476437,63.75,64.226438,True,pending_human_review,https://github.com/NSPG13/agent-bounties/issues/276,C:\Users\AP10\AI-Network-Lab-Brain\01_GLOBAL_REVENUE_BRAIN\04_OPPORTUNITIES\priority_opportunities.csv,6,2026-07-17T19:32:34.130310+00:00
33,MCP Paid Opportunities,[0.10 USDC autonomous bounty] Complete an agent-skill claim-to-payout canary,0.11,USD,unknown,4.0,60.0,55.0,70.0,75.0,0.0190575,0.00476437,63.75,64.226438,True,pending_human_review,https://github.com/NSPG13/agent-bounties/issues/277,C:\Users\AP10\AI-Network-Lab-Brain\01_GLOBAL_REVENUE_BRAIN\04_OPPORTUNITIES\priority_opportunities.csv,7,2026-07-17T19:32:34.131310+00:00
34,algora_open_bounties,templates#152 Get Your Custom Dokploy Templates Built!,0.0,USD,unknown,4.0,60.0,55.0,70.0,75.0,0.0,0.0,63.75,63.75,True,pending_human_review,,C:\Users\AP10\AI-Network-Lab-Brain\01_GLOBAL_REVENUE_BRAIN\04_OPPORTUNITIES\algora_open_bounties.csv,2,2026-07-17T19:32:33.427434+00:00
35,algora_open_bounties,archestra#3859 json in mcp server args textarea,0.0,USD,unknown,4.0,60.0,55.0,70.0,75.0,0.0,0.0,63.75,63.75,True,pending_human_review,,C:\Users\AP10\AI-Network-Lab-Brain\01_GLOBAL_REVENUE_BRAIN\04_OPPORTUNITIES\algora_open_bounties.csv,3,2026-07-17T19:32:33.427434+00:00
36,algora_open_bounties,dokploy#1413 Organisation and Teams Management,0.0,USD,unknown,4.0,60.0,55.0,70.0,75.0,0.0,0.0,63.75,63.75,True,pending_human_review,,C:\Users\AP10\AI-Network-Lab-Brain\01_GLOBAL_REVENUE_BRAIN\04_OPPORTUNITIES\algora_open_bounties.csv,4,2026-07-17T19:32:33.427434+00:00
37,algora_open_bounties,EdgeChains#279 BOUNTY: add support for Google Palm2 API in javascript/typescript,0.0,USD,unknown,4.0,60.0,55.0,70.0,75.0,0.0,0.0,63.75,63.75,True,pending_human_review,,C:\Users\AP10\AI-Network-Lab-Brain\01_GLOBAL_REVENUE_BRAIN\04_OPPORTUNITIES\algora_open_bounties.csv,5,2026-07-17T19:32:33.427434+00:00
38,algora_open_bounties,MLE-Bench Organization: OpenAI Paper: https://arxiv.org/abs/2410.07095 Code: https://github.com/openai/mle-bench Owner: https://x.com/creet_z Difficulty: Very Hard ...read more,0.0,USD,unknown,4.0,60.0,55.0,70.0,75.0,0.0,0.0,63.75,63.75,True,pending_human_review,,C:\Users\AP10\AI-Network-Lab-Brain\01_GLOBAL_REVENUE_BRAIN\04_OPPORTUNITIES\algora_open_bounties.csv,6,2026-07-17T19:32:33.428434+00:00
39,algora_open_bounties,PaperBench Organization: OpenAI Paper: https://arxiv.org/abs/2504.01848 Code: https://github.com/openai/preparedness/tree/main/project/paperbench Owner: https://x.com/_manan2005 Difficulty: Very Hard ...read more,0.0,USD,unknown,4.0,60.0,55.0,70.0,75.0,0.0,0.0,63.75,63.75,True,pending_human_review,,C:\Users\AP10\AI-Network-Lab-Brain\01_GLOBAL_REVENUE_BRAIN\04_OPPORTUNITIES\algora_open_bounties.csv,7,2026-07-17T19:32:33.428434+00:00
40,algora_open_bounties,1-650-420-2207,0.0,USD,unknown,4.0,60.0,55.0,70.0,75.0,0.0,0.0,63.75,63.75,True,pending_human_review,,C:\Users\AP10\AI-Network-Lab-Brain\01_GLOBAL_REVENUE_BRAIN\04_OPPORTUNITIES\algora_open_bounties.csv,8,2026-07-17T19:32:33.428434+00:00
41,algora_open_bounties,Schedule a call,0.0,USD,unknown,4.0,60.0,55.0,70.0,75.0,0.0,0.0,63.75,63.75,True,pending_human_review,,C:\Users\AP10\AI-Network-Lab-Brain\01_GLOBAL_REVENUE_BRAIN\04_OPPORTUNITIES\algora_open_bounties.csv,9,2026-07-17T19:32:33.428434+00:00
42,algora_open_bounties,EdgeChains#273 BOUNTY: add support for qdrant vector database in javascript sdk,0.0,USD,unknown,4.0,60.0,55.0,70.0,75.0,0.0,0.0,63.75,63.75,True,pending_human_review,,C:\Users\AP10\AI-Network-Lab-Brain\01_GLOBAL_REVENUE_BRAIN\04_OPPORTUNITIES\algora_open_bounties.csv,10,2026-07-17T19:32:33.429433+00:00
43,algora_open_bounties,"Writing-Zero Paper: https://arxiv.org/pdf/2506.00103 Difficulty: Very Hard Notes: Full solution should include a pipeline to generate pairwise training samples from existing LLMs+rubrics or public sources, an environment to train GenRM, and an environment to train main model using GenRM. Requires some creative decision-making; discuss proposal with Will before getting too deep into it, will give sufficient compute for train experiments conditional on implementation progress. ...read more",0.0,USD,unknown,4.0,60.0,55.0,70.0,75.0,0.0,0.0,63.75,63.75,True,pending_human_review,,C:\Users\AP10\AI-Network-Lab-Brain\01_GLOBAL_REVENUE_BRAIN\04_OPPORTUNITIES\algora_open_bounties.csv,11,2026-07-17T19:32:33.429433+00:00
44,algora_open_bounties,dokploy#416 Ability to backup to more destination types,0.0,USD,unknown,4.0,60.0,55.0,70.0,75.0,0.0,0.0,63.75,63.75,True,pending_human_review,,C:\Users\AP10\AI-Network-Lab-Brain\01_GLOBAL_REVENUE_BRAIN\04_OPPORTUNITIES\algora_open_bounties.csv,12,2026-07-17T19:32:33.429433+00:00
45,algora_open_bounties,opik#1010 [FR]: UI - Ability to Annotate multiple traces at once within a Project,0.0,USD,unknown,4.0,60.0,55.0,70.0,75.0,0.0,0.0,63.75,63.75,True,pending_human_review,,C:\Users\AP10\AI-Network-Lab-Brain\01_GLOBAL_REVENUE_BRAIN\04_OPPORTUNITIES\algora_open_bounties.csv,13,2026-07-17T19:32:33.429433+00:00
46,algora_open_bounties,EdgeChains#290 BOUNTY: integrate AWS Comprehend as a utility to redact data,0.0,USD,unknown,4.0,60.0,55.0,70.0,75.0,0.0,0.0,63.75,63.75,True,pending_human_review,,C:\Users\AP10\AI-Network-Lab-Brain\01_GLOBAL_REVENUE_BRAIN\04_OPPORTUNITIES\algora_open_bounties.csv,14,2026-07-17T19:32:33.430433+00:00
47,algora_open_bounties,"ART-E / ART Paper: https://openpipe.ai/blog/art-e-mail-agent Code: https://github.com/OpenPipe/ART/tree/main/examples Owner: https://x.com/dhruvrnaik Difficulty: Easy-Hard Notes: Bounty: $200 - 800. Easy = ART-E agent task, Hard = 2-way portability between ART <-> verifiers tasks ...read more",0.0,USD,unknown,4.0,60.0,55.0,70.0,75.0,0.0,0.0,63.75,63.75,True,pending_human_review,,C:\Users\AP10\AI-Network-Lab-Brain\01_GLOBAL_REVENUE_BRAIN\04_OPPORTUNITIES\algora_open_bounties.csv,15,2026-07-17T19:32:33.430433+00:00
48,algora_open_bounties,https://github.com/OpenPipe/ART/tree/main/examples,0.0,USD,unknown,4.0,60.0,55.0,70.0,75.0,0.0,0.0,63.75,63.75,True,pending_human_review,,C:\Users\AP10\AI-Network-Lab-Brain\01_GLOBAL_REVENUE_BRAIN\04_OPPORTUNITIES\algora_open_bounties.csv,16,2026-07-17T19:32:33.430433+00:00
49,algora_open_bounties,https://openpipe.ai/blog/art-e-mail-agent,0.0,USD,unknown,4.0,60.0,55.0,70.0,75.0,0.0,0.0,63.75,63.75,True,pending_human_review,,C:\Users\AP10\AI-Network-Lab-Brain\01_GLOBAL_REVENUE_BRAIN\04_OPPORTUNITIES\algora_open_bounties.csv,17,2026-07-17T19:32:33.430433+00:00
50,algora_open_bounties,https://x.com/dhruvrnaik,0.0,USD,unknown,4.0,60.0,55.0,70.0,75.0,0.0,0.0,63.75,63.75,True,pending_human_review,,C:\Users\AP10\AI-Network-Lab-Brain\01_GLOBAL_REVENUE_BRAIN\04_OPPORTUNITIES\algora_open_bounties.csv,18,2026-07-17T19:32:33.431433+00:00
51,algora_open_bounties,BixBench Organization: Future House Paper: https://arxiv.org/abs/2503.00096 Code: https://github.com/Future-House/BixBench Difficulty: Hard ...read more,0.0,USD,unknown,4.0,60.0,55.0,70.0,75.0,0.0,0.0,63.75,63.75,True,pending_human_review,,C:\Users\AP10\AI-Network-Lab-Brain\01_GLOBAL_REVENUE_BRAIN\04_OPPORTUNITIES\algora_open_bounties.csv,19,2026-07-17T19:32:33.431433+00:00
52,algora_open_bounties,Kimi-K2 Tool Sim Paper: https://arxiv.org/abs/2507.20534 Owner: https://x.com/kalocide Difficulty: Hard ...read more,0.0,USD,unknown,4.0,60.0,55.0,70.0,75.0,0.0,0.0,63.75,63.75,True,pending_human_review,,C:\Users\AP10\AI-Network-Lab-Brain\01_GLOBAL_REVENUE_BRAIN\04_OPPORTUNITIES\algora_open_bounties.csv,20,2026-07-17T19:32:33.431433+00:00
53,algora_open_bounties,"LangGraph Difficulty: Hard+ Notes: Part of this will be a scoping problem, i.e. determining what set of LangGraph features can be supported with linear generation (i.e. forward sequence of turns w/o forking) ...read more",0.0,USD,unknown,4.0,60.0,55.0,70.0,75.0,0.0,0.0,63.75,63.75,True,pending_human_review,,C:\Users\AP10\AI-Network-Lab-Brain\01_GLOBAL_REVENUE_BRAIN\04_OPPORTUNITIES\algora_open_bounties.csv,21,2026-07-17T19:32:33.431433+00:00
54,algora_open_bounties,SWE-bench Verified Owner: https://x.com/NoisyTails Difficulty: Hard ...read more,0.0,USD,unknown,4.0,60.0,55.0,70.0,75.0,0.0,0.0,63.75,63.75,True,pending_human_review,,C:\Users\AP10\AI-Network-Lab-Brain\01_GLOBAL_REVENUE_BRAIN\04_OPPORTUNITIES\algora_open_bounties.csv,22,2026-07-17T19:32:33.432433+00:00
55,algora_open_bounties,WebArena Code: https://github.com/web-arena-x/webarena/tree/main Owner: https://x.com/fido20222 Difficulty: Hard ...read more,0.0,USD,unknown,4.0,60.0,55.0,70.0,75.0,0.0,0.0,63.75,63.75,True,pending_human_review,,C:\Users\AP10\AI-Network-Lab-Brain\01_GLOBAL_REVENUE_BRAIN\04_OPPORTUNITIES\algora_open_bounties.csv,23,2026-07-17T19:32:33.432433+00:00
56,algora_open_bounties,"SWE-Swiss Organization: Bytedance Seed Paper: https://pebble-potato-fc6.notion.site/SWE-Swiss-A-Multi-Task-Fine-Tuning-and-RL-Recipe-for-High-Performance-Issue-Resolution-21e174dedd4880ea829ed4c861c44f88 Code: https://github.com/zhenyuhe00/SWE-Swiss Dataset(s): https://huggingface.co/SWE-Swiss Train/Eval?: Train Owner: https://x.com/SrgntSaltNPepa Difficulty: Medium-Hard Notes: Bounty: $400 - 800. $400 = existing RL dataset, $800 = full auto-gen pipeline ...read more",0.0,USD,unknown,4.0,60.0,55.0,70.0,75.0,0.0,0.0,63.75,63.75,True,pending_human_review,,C:\Users\AP10\AI-Network-Lab-Brain\01_GLOBAL_REVENUE_BRAIN\04_OPPORTUNITIES\algora_open_bounties.csv,24,2026-07-17T19:32:33.432433+00:00
57,algora_open_bounties,https://github.com/zhenyuhe00/SWE-Swiss,0.0,USD,unknown,4.0,60.0,55.0,70.0,75.0,0.0,0.0,63.75,63.75,True,pending_human_review,,C:\Users\AP10\AI-Network-Lab-Brain\01_GLOBAL_REVENUE_BRAIN\04_OPPORTUNITIES\algora_open_bounties.csv,25,2026-07-17T19:32:33.432433+00:00
58,algora_open_bounties,https://huggingface.co/SWE-Swiss,0.0,USD,unknown,4.0,60.0,55.0,70.0,75.0,0.0,0.0,63.75,63.75,True,pending_human_review,,C:\Users\AP10\AI-Network-Lab-Brain\01_GLOBAL_REVENUE_BRAIN\04_OPPORTUNITIES\algora_open_bounties.csv,26,2026-07-17T19:32:33.433433+00:00
59,algora_open_bounties,https://pebble-potato-fc6.notion.site/SWE-Swiss-A-Multi-Task-Fine-Tuning-and-RL-Recipe-for-High-Performance-Issue-Resolution-21e174dedd4880ea829ed4c861c44f88,0.0,USD,unknown,4.0,60.0,55.0,70.0,75.0,0.0,0.0,63.75,63.75,True,pending_human_review,,C:\Users\AP10\AI-Network-Lab-Brain\01_GLOBAL_REVENUE_BRAIN\04_OPPORTUNITIES\algora_open_bounties.csv,27,2026-07-17T19:32:33.433433+00:00
60,algora_open_bounties,https://x.com/SrgntSaltNPepa,0.0,USD,unknown,4.0,60.0,55.0,70.0,75.0,0.0,0.0,63.75,63.75,True,pending_human_review,,C:\Users\AP10\AI-Network-Lab-Brain\01_GLOBAL_REVENUE_BRAIN\04_OPPORTUNITIES\algora_open_bounties.csv,28,2026-07-17T19:32:33.433433+00:00
61,algora_open_bounties,coolify#6696 feat(oauth): add generic oidc provider,0.0,USD,unknown,4.0,60.0,55.0,70.0,75.0,0.0,0.0,63.75,63.75,True,pending_human_review,,C:\Users\AP10\AI-Network-Lab-Brain\01_GLOBAL_REVENUE_BRAIN\04_OPPORTUNITIES\algora_open_bounties.csv,29,2026-07-17T19:32:33.433433+00:00
62,algora_open_bounties,Cap#1540 Bounty: Deeplinks support + Raycast Extension,0.0,USD,unknown,4.0,60.0,55.0,70.0,75.0,0.0,0.0,63.75,63.75,True,pending_human_review,,C:\Users\AP10\AI-Network-Lab-Brain\01_GLOBAL_REVENUE_BRAIN\04_OPPORTUNITIES\algora_open_bounties.csv,30,2026-07-17T19:32:33.434433+00:00
63,devpost_api_verified,Build with Gemini XPRIZE,0.0,unknown,unknown,4.0,60.0,55.0,70.0,75.0,0.0,0.0,63.75,63.75,True,pending_human_review,https://xprize.devpost.com/,C:\Users\AP10\AI-Network-Lab-Brain\01_GLOBAL_REVENUE_BRAIN\04_OPPORTUNITIES\devpost_api_verified.csv,2,2026-07-17T19:32:33.480425+00:00
64,devpost_api_verified,INNOVIK 6.0 : International Hackathon 2026,0.0,unknown,unknown,4.0,60.0,55.0,70.0,75.0,0.0,0.0,63.75,63.75,True,pending_human_review,https://innovik-6-0-hackathon-2026.devpost.com/,C:\Users\AP10\AI-Network-Lab-Brain\01_GLOBAL_REVENUE_BRAIN\04_OPPORTUNITIES\devpost_api_verified.csv,3,2026-07-17T19:32:33.480425+00:00
