rank,queue_status,verification_score,priority_score,title,category,source,url,reward_amount,reward_currency,payment_method,difficulty,estimated_hours,risk_level,country_eligibility,country_restrictions,kyc_required,human_approval_required,verification_status,recommended_action,recommendation_reason,verified_at
31,ELIGIBILITY_REVIEW_REQUIRED,71.45,79.45,bounty: $5 USDC — add-only docs/TOOL_LEGIBILITY.md,ai_integration,MCP Paid Opportunities,https://github.com/kwizzlesurp10-ctrl/x402-mcp/issues/494,5.0,USD,"USDC, GitHub Sponsors",baixa,8.0,baixo,UNKNOWN_REVIEW_REQUIRED,,0,0,actionable,"Preparar candidatura, proposta ou prova de conceito.","Link ativo, recompensa explícita e baixo risco identificado.",2026-08-26T16:35:49.248775+00:00
32,ELIGIBILITY_REVIEW_REQUIRED,71.45,79.45,[AGENT-TASK] Content-generation agent — auto-posts from bounty outcomes,ai_bounty,AI Agent Bounties,https://github.com/Nexussyn/ai-growth-engine/issues/5,5.0,USD,"USDC, GitHub Sponsors",baixa,8.0,baixo,UNKNOWN_REVIEW_REQUIRED,,0,0,actionable,"Preparar candidatura, proposta ou prova de conceito.","Link ativo, recompensa explícita e baixo risco identificado.",2026-08-26T14:01:50.015441+00:00
33,ELIGIBILITY_REVIEW_REQUIRED,70.9,78.9,[UNFUNDED: 0/0.11 USDC] Complete a fresh earning-loop friction canary,open_source_bounty,GitHub Paid Issues,https://github.com/NSPG13/agent-bounties/issues/291,0.1,USD,"USDC, GitHub Sponsors",baixa,8.0,baixo,UNKNOWN_REVIEW_REQUIRED,eligibility 1,0,1,approval_required,Revisar requisitos e autorizar a preparação.,"A oportunidade é promissora, mas exige ação humana sensível.",2026-08-27T12:27:28.311557+00:00
34,ELIGIBILITY_REVIEW_REQUIRED,70.64,78.65,[Bug] fix.py is a stale hardcoded stub,open_source_bounty,GitHub Bounty Issues,https://github.com/Hazyshades/Sendly-Test-Repo/issues/82,10.0,USD,"USDC, GitHub Sponsors",baixa,8.0,baixo,UNKNOWN_REVIEW_REQUIRED,,0,0,actionable,"Preparar candidatura, proposta ou prova de conceito.","Link ativo, recompensa explícita e baixo risco identificado.",2026-08-26T14:12:18.726042+00:00
35,ELIGIBILITY_REVIEW_REQUIRED,70.1,78.16,Ops dashboard,ai_integration,MCP Paid Opportunities,https://github.com/ModelMirrorAI/fedcourtsai/issues/630,55.0,USD,GitHub Sponsors,baixa,8.0,baixo,UNKNOWN_REVIEW_REQUIRED,,0,0,actionable,"Preparar candidatura, proposta ou prova de conceito.","Link ativo, recompensa explícita e baixo risco identificado.",2026-07-15T14:35:27.350906+00:00
36,ELIGIBILITY_REVIEW_REQUIRED,70.06,78.14,[BOUNTY $80] Notifications — 统一通知中心 (Gotify + Apprise),open_source_bounty,GitHub Bounty Issues,https://github.com/illbnm/homelab-stack/issues/13,80.0,USD,"USDT, GitHub Sponsors",baixa,8.0,baixo,UNKNOWN_REVIEW_REQUIRED,,0,0,actionable,"Preparar candidatura, proposta ou prova de conceito.","Link ativo, recompensa explícita e baixo risco identificado.",2026-08-26T14:02:16.715513+00:00
37,ELIGIBILITY_REVIEW_REQUIRED,69.83,77.84,Automatic authoritative external-billing Subscription adoption (CODEX...,paid_development,GitHub Paid Issues,https://github.com/jaywedgeworth22/api-usage-monitor/issues/285,6.0,USD,GitHub Sponsors,baixa,8.0,baixo,UNKNOWN_REVIEW_REQUIRED,,0,0,actionable,"Preparar candidatura, proposta ou prova de conceito.","Link ativo, recompensa explícita e baixo risco identificado.",2026-07-15T14:35:30.803994+00:00
38,ELIGIBILITY_REVIEW_REQUIRED,68.38,76.38,[Bounty: 3 ETH] implement Goose class in SuperCollider,open_source_bounty,GitHub Bounty Issues,https://github.com/dwebagents/AgentPipe/issues/131,3.0,ETH,GitHub Sponsors,baixa,8.0,baixo,UNKNOWN_REVIEW_REQUIRED,,0,0,actionable,"Preparar candidatura, proposta ou prova de conceito.","Link ativo, recompensa explícita e baixo risco identificado.",2026-08-26T17:32:45.129568+00:00
39,ELIGIBILITY_REVIEW_REQUIRED,69.36,72.36,Sales Director - Strategic Accounts (f/m/d),paid_development,Arbeitnow,https://www.arbeitnow.com/jobs/companies/apaleo/sales-director-strategic-accounts-munchen-359719,1.0,EUR,,média,30.0,baixo,UNKNOWN_REVIEW_REQUIRED,,0,0,actionable,"Preparar candidatura, proposta ou prova de conceito.","Link ativo, recompensa explícita e baixo risco identificado.",2026-08-27T12:32:14.407589+00:00
40,ELIGIBILITY_REVIEW_REQUIRED,69.36,72.36,Sales Director - Strategic Accounts (f/m/d),paid_development,Arbeitnow,https://www.arbeitnow.com/jobs/companies/apaleo/sales-director-strategic-accounts-berlin-154329,1.0,EUR,,média,30.0,baixo,UNKNOWN_REVIEW_REQUIRED,,0,0,actionable,"Preparar candidatura, proposta ou prova de conceito.","Link ativo, recompensa explícita e baixo risco identificado.",2026-08-27T12:32:13.530462+00:00
41,IDENTITY_REVIEW_REQUIRED,84.75,100.0,DeXe Protocol,authorized_bug_bounty,Immunefi,https://immunefi.com/bug-bounty/dexeprotocol/information/,500000.0,USD,USDC,alta,80.0,baixo,UNKNOWN_REVIEW_REQUIRED,Eligibility: Authorized program; inspect scope before testing,1,1,approval_required,Revisar requisitos e autorizar a preparação.,"A oportunidade é promissora, mas exige ação humana sensível.",2026-08-27T12:27:35.440989+00:00
42,IDENTITY_REVIEW_REQUIRED,84.75,100.0,StackingDAO,authorized_bug_bounty,Immunefi,https://immunefi.com/bug-bounty/stackingdao/information/,100000.0,USD,USDC,alta,80.0,baixo,UNKNOWN_REVIEW_REQUIRED,Eligibility: Authorized program; inspect scope before testing,1,1,approval_required,Revisar requisitos e autorizar a preparação.,"A oportunidade é promissora, mas exige ação humana sensível.",2026-08-27T12:27:37.745897+00:00
43,IDENTITY_REVIEW_REQUIRED,85.7,100.0,Grant Application - Educating Communities by Educating Their Leaders,grant,GitHub Grant Issues,https://github.com/ZcashCommunityGrants/zcashcommunitygrants/issues/356,50000.0,USD,GitHub Sponsors,alta,80.0,baixo,UNKNOWN_REVIEW_REQUIRED,,1,1,approval_required,Revisar requisitos e autorizar a preparação.,"A oportunidade é promissora, mas exige ação humana sensível.",2026-07-15T14:35:04.766319+00:00
44,IDENTITY_REVIEW_REQUIRED,84.75,100.0,Immunefi,authorized_bug_bounty,Immunefi,https://immunefi.com/bug-bounty/immunefi/information/,50000.0,USD,USDC,alta,80.0,baixo,UNKNOWN_REVIEW_REQUIRED,Eligibility: Authorized program; inspect scope before testing,1,1,approval_required,Revisar requisitos e autorizar a preparação.,"A oportunidade é promissora, mas exige ação humana sensível.",2026-08-27T12:27:38.981333+00:00
45,IDENTITY_REVIEW_REQUIRED,84.75,100.0,Hedera,authorized_bug_bounty,Immunefi,https://immunefi.com/bug-bounty/hedera/information/,14500.0,USD,USDC,alta,80.0,baixo,UNKNOWN_REVIEW_REQUIRED,Eligibility: Authorized program; inspect scope before testing,1,1,approval_required,Revisar requisitos e autorizar a preparação.,"A oportunidade é promissora, mas exige ação humana sensível.",2026-08-27T12:27:40.052559+00:00
46,IDENTITY_REVIEW_REQUIRED,75.75,83.9,Zest Protocol V2,authorized_bug_bounty,Immunefi,https://immunefi.com/bug-bounty/zest-protocol-v2/information/,150.0,USD,USDC,média,30.0,baixo,UNKNOWN_REVIEW_REQUIRED,Eligibility: Authorized program; inspect scope before testing,1,1,approval_required,Revisar requisitos e autorizar a preparação.,"A oportunidade é promissora, mas exige ação humana sensível.",2026-08-27T12:27:38.367093+00:00
47,IDENTITY_REVIEW_REQUIRED,71.7,79.71,P1 — First verified revenue: USD 10+,ai_bounty,AI Agent Bounties,https://github.com/jadeldiaz01-png/AUREUS-2026-Autonomous-Universal-Revenue-Efficient-Utility-Scheduler/issues/2,10.0,USD,GitHub Sponsors,baixa,8.0,baixo,UNKNOWN_REVIEW_REQUIRED,eligibility/onboarding is complete,1,1,approval_required,Revisar requisitos e autorizar a preparação.,"A oportunidade é promissora, mas exige ação humana sensível.",2026-08-26T14:01:46.105647+00:00
48,BLOCKED_REJECTED_OR_EXPIRED,88.66,56.66,OpenAI Build Week,hackathon,Devpost Hackathons,https://openai.devpost.com/,15000.0,USD,,alta,80.0,baixo,UNKNOWN_REVIEW_REQUIRED,"eligibility, and submission guidelines",0,0,expired,Descartar como expirada.,O prazo identificado já terminou.,2026-08-27T12:31:56.565075+00:00
49,BLOCKED_REJECTED_OR_EXPIRED,84.3,43.3,Hack the Arts,hackathon,Devpost Hackathons,https://hackthearts.devpost.com/,1000.0,USD,,baixa,8.0,baixo,UNKNOWN_REVIEW_REQUIRED,open to beginners and experienced builders alike,0,0,expired,Descartar como expirada.,O prazo identificado já terminou.,2026-08-27T12:41:24.506521+00:00
50,BLOCKED_REJECTED_OR_EXPIRED,79.84,38.09,CS Girlies Annual Hackathon - Technology For Wellness,hackathon,Devpost Hackathons,https://cs-girlies-wellness-hackathon.devpost.com/,250.0,USD,,média,30.0,baixo,UNKNOWN_REVIEW_REQUIRED,,0,0,expired,Descartar como expirada.,O prazo identificado já terminou.,2026-08-27T12:31:43.132733+00:00
51,BLOCKED_REJECTED_OR_EXPIRED,78.98,37.08,BTT Web Game Jam - Summer 2026,hackathon,Devpost Hackathons,https://btt-web-game-jam.devpost.com/,100.0,EUR,,baixa,8.0,baixo,UNKNOWN_REVIEW_REQUIRED,,0,0,expired,Descartar como expirada.,O prazo identificado já terminou.,2026-08-27T12:41:51.508224+00:00
52,BLOCKED_REJECTED_OR_EXPIRED,74.53,32.53,Suvidha AI Virtual Hackathon,hackathon,Devpost Hackathons,https://suvidha-ai-virtual-hackathon.devpost.com/,3.0,BTC,,média,30.0,baixo,UNKNOWN_REVIEW_REQUIRED,,0,0,expired,Descartar como expirada.,O prazo identificado já terminou.,2026-08-27T12:32:07.531785+00:00
53,BLOCKED_NOT_EXECUTABLE,2.75,0.0,Lombard Finance,authorized_bug_bounty,Immunefi,https://immunefi.com/bug-bounty/lombard-finance/information/,250000.0,USD,"USDC, Criptomoeda",alta,80.0,crítico,UNKNOWN_REVIEW_REQUIRED,Eligibility: Authorized program; inspect scope before testing,1,1,rejected,Rejeitar imediatamente.,Foram encontrados sinais incompatíveis com as políticas de segurança.,2026-08-27T12:27:36.585405+00:00
54,BLOCKED_NOT_EXECUTABLE,2.75,0.0,ENS,authorized_bug_bounty,Immunefi,https://immunefi.com/bug-bounty/ens/information/,25000.0,USD,"USDC, Criptomoeda",alta,80.0,crítico,UNKNOWN_REVIEW_REQUIRED,Eligibility: Authorized program; inspect scope before testing,1,1,rejected,Rejeitar imediatamente.,Foram encontrados sinais incompatíveis com as políticas de segurança.,2026-08-27T12:27:35.959009+00:00
55,BLOCKED_NOT_EXECUTABLE,2.75,0.0,Ethena,authorized_bug_bounty,Immunefi,https://immunefi.com/bug-bounty/ethena/information/,12500.0,USD,"USDC, USDT",alta,80.0,crítico,UNKNOWN_REVIEW_REQUIRED,Eligibility: Authorized program; inspect scope before testing,1,1,rejected,Rejeitar imediatamente.,Foram encontrados sinais incompatíveis com as políticas de segurança.,2026-08-27T12:27:34.761859+00:00
56,BLOCKED_NOT_EXECUTABLE,39.74,0.0,chore(ci): retire qodana now that jscpd and cargo-machete cover its findings,ai_integration,MCP Paid Opportunities,https://github.com/iamacoffeepot/aether/issues/3439,2000.0,USD,GitHub Sponsors,baixa,8.0,médio,UNKNOWN_REVIEW_REQUIRED,,0,0,rejected,Descartar como conteúdo informativo ou falso positivo.,Não foram encontrados sinais suficientes de uma oportunidade executável.,2026-07-15T14:35:32.633091+00:00
57,BLOCKED_LINK_INACTIVE,0.0,0.0,Mid/Senior AI Cinematic Video Editor,paid_development,Remotive,https://remotive.com/remote-jobs/artificial-intelligence/mid-senior-ai-cinematic-video-editor-2090887,250.0,USD,,alta,80.0,alto,UNKNOWN_REVIEW_REQUIRED,Open to feedback and continuous improvement 🍭 #NSFW — Comfortable working with uncensored models and explicit adult content Bonus Points Experience in AI-native storyt,0,1,rejected,Rejeitar ou revisar manualmente o endereço.,O link não respondeu como uma oportunidade ativa.,2026-08-27T12:27:32.208528+00:00
58,BLOCKED_LINK_INACTIVE,0.0,0.0,Mid/Senior AI Cinematic Video Editor,paid_development,Remotive,https://remotive.com/remote-jobs/artificial-intelligence/mid-senior-ai-cinematic-video-editor-2091035,250.0,USD,,média,30.0,alto,UNKNOWN_REVIEW_REQUIRED,Open to feedback and continuous improvement 🍭 #NSFW — Comfortable working with uncensored models and explicit adult content Bonus Points Experience in AI-native storyt,0,1,rejected,Rejeitar ou revisar manualmente o endereço.,O link não respondeu como uma oportunidade ativa.,2026-08-27T12:27:31.703474+00:00
59,BLOCKED_NOT_EXECUTABLE,29.92,0.0,Wayfinder map: alpha → beta launch,ai_integration,MCP Paid Opportunities,https://github.com/cameronapak/dotflowy/issues/151,99.0,USD,"Stripe, GitHub Sponsors",baixa,8.0,médio,UNKNOWN_REVIEW_REQUIRED,,0,0,rejected,Descartar como conteúdo informativo ou falso positivo.,Não foram encontrados sinais suficientes de uma oportunidade executável.,2026-07-15T14:35:29.101579+00:00
