source,repository,issue_number,title,url,discovery_score,discovery_priority,promotion_status,promotion_reason,economic_signal,amount_signal,claim_signal,completion_signal,zero_reward_signal,suspicious_signal,promotion_score,promotion_checked_at,canonical_key,organization,repository_name,source_url
github_search_api_candidates.csv,owoWork/owoWork-contract,19,Implement Reward/Payment System,https://github.com/owoWork/owoWork-contract/issues/19,60,HIGH,PROMOTED,no_amount_signal,true,false,false,false,false,false,80.0,2026-07-18T18:46:19.941255+00:00,github:owowork/owowork-contract#19,owoWork,owoWork-contract,https://github.com/owoWork/owoWork-contract/issues/19
github_search_api_candidates.csv,Soneso/stellar-agent-wallet,78,MPP: outbound transport integration (automatic paid retry),https://github.com/Soneso/stellar-agent-wallet/issues/78,60,HIGH,PROMOTED,no_amount_signal,true,false,false,false,false,false,80.0,2026-07-18T18:46:19.941255+00:00,github:soneso/stellar-agent-wallet#78,Soneso,stellar-agent-wallet,https://github.com/Soneso/stellar-agent-wallet/issues/78
github_search_api_candidates.csv,thxprotocol/monorepo-legacy,882,Reward Payment Methods,https://github.com/thxprotocol/monorepo-legacy/issues/882,60,HIGH,PROMOTED,no_amount_signal,true,false,false,false,false,false,80.0,2026-07-18T18:46:19.941255+00:00,github:thxprotocol/monorepo-legacy#882,thxprotocol,monorepo-legacy,https://github.com/thxprotocol/monorepo-legacy/issues/882
github_search_api_candidates.csv,dolr-ai/yral,819,Reward + Winnings Wallet,https://github.com/dolr-ai/yral/issues/819,60,HIGH,PROMOTED,no_amount_signal,true,false,false,false,false,false,80.0,2026-07-18T18:46:19.942254+00:00,github:dolr-ai/yral#819,dolr-ai,yral,https://github.com/dolr-ai/yral/issues/819
github_search_api_candidates.csv,zhangjiayang6835-cyber/bounty-plaza,311,"[Bounty] [Bounty] [Bounty] [Bounty] [Bounty] [Bounty] [Bounty] [Bounty $1,500] Optimise `",https://github.com/zhangjiayang6835-cyber/bounty-plaza/issues/311,35,MEDIUM,PROMOTED,qualified_economic_opportunity,true,true,false,false,false,false,80.0,2026-07-18T18:46:20.012242+00:00,github:zhangjiayang6835-cyber/bounty-plaza#311,zhangjiayang6835-cyber,bounty-plaza,https://github.com/zhangjiayang6835-cyber/bounty-plaza/issues/311
github_search_api_candidates.csv,zhangjiayang6835-cyber/bounty-plaza,310,"[Bounty] [Bounty] [Bounty] [Bounty] [Bounty] [Bounty] [Bounty] [Bounty $2,500] Optimise/i",https://github.com/zhangjiayang6835-cyber/bounty-plaza/issues/310,35,MEDIUM,PROMOTED,qualified_economic_opportunity,true,true,false,false,false,false,80.0,2026-07-18T18:46:20.013242+00:00,github:zhangjiayang6835-cyber/bounty-plaza#310,zhangjiayang6835-cyber,bounty-plaza,https://github.com/zhangjiayang6835-cyber/bounty-plaza/issues/310
github_search_api_candidates.csv,zhangjiayang6835-cyber/bounty-plaza,254,"[Bounty] [Bounty] [Bounty] [Bounty] [Bounty] [Bounty] [Bounty $1,500] Optimise `deg2rad` ",https://github.com/zhangjiayang6835-cyber/bounty-plaza/issues/254,35,MEDIUM,PROMOTED,qualified_economic_opportunity,true,true,false,false,false,false,80.0,2026-07-18T18:46:20.014242+00:00,github:zhangjiayang6835-cyber/bounty-plaza#254,zhangjiayang6835-cyber,bounty-plaza,https://github.com/zhangjiayang6835-cyber/bounty-plaza/issues/254
github_search_api_candidates.csv,zhangjiayang6835-cyber/bounty-plaza,255,"[Bounty] [Bounty] [Bounty] [Bounty] [Bounty] [Bounty] [Bounty $2,500] Optimise/improve ac",https://github.com/zhangjiayang6835-cyber/bounty-plaza/issues/255,35,MEDIUM,PROMOTED,qualified_economic_opportunity,true,true,false,false,false,false,80.0,2026-07-18T18:46:20.014242+00:00,github:zhangjiayang6835-cyber/bounty-plaza#255,zhangjiayang6835-cyber,bounty-plaza,https://github.com/zhangjiayang6835-cyber/bounty-plaza/issues/255
github_search_api_candidates.csv,zhangjiayang6835-cyber/bounty-plaza,248,"[Bounty] [Bounty] [Bounty] [Bounty] [Bounty] [Bounty $1,500] Optimise `deg2rad` / `rad2de",https://github.com/zhangjiayang6835-cyber/bounty-plaza/issues/248,35,MEDIUM,PROMOTED,qualified_economic_opportunity,true,true,false,false,false,false,80.0,2026-07-18T18:46:20.015242+00:00,github:zhangjiayang6835-cyber/bounty-plaza#248,zhangjiayang6835-cyber,bounty-plaza,https://github.com/zhangjiayang6835-cyber/bounty-plaza/issues/248
github_search_api_candidates.csv,zhangjiayang6835-cyber/bounty-plaza,249,"[Bounty] [Bounty] [Bounty] [Bounty] [Bounty] [Bounty $2,500] Optimise/improve accuracy fo",https://github.com/zhangjiayang6835-cyber/bounty-plaza/issues/249,35,MEDIUM,PROMOTED,qualified_economic_opportunity,true,true,false,false,false,false,80.0,2026-07-18T18:46:20.016242+00:00,github:zhangjiayang6835-cyber/bounty-plaza#249,zhangjiayang6835-cyber,bounty-plaza,https://github.com/zhangjiayang6835-cyber/bounty-plaza/issues/249
github_search_api_candidates.csv,zhangjiayang6835-cyber/bounty-plaza,185,"[Bounty] [Bounty] [Bounty] [Bounty] [Bounty $1,500] Optimise `deg2rad` / `rad2deg` (fp32/",https://github.com/zhangjiayang6835-cyber/bounty-plaza/issues/185,35,MEDIUM,PROMOTED,qualified_economic_opportunity,true,true,false,false,false,false,80.0,2026-07-18T18:46:20.016242+00:00,github:zhangjiayang6835-cyber/bounty-plaza#185,zhangjiayang6835-cyber,bounty-plaza,https://github.com/zhangjiayang6835-cyber/bounty-plaza/issues/185
github_search_api_candidates.csv,zhangjiayang6835-cyber/bounty-plaza,213,[Bounty] [Bounty] [Bounty] [Bounty] [Bounty] SQL Injection in login endpoint - 50 USD,https://github.com/zhangjiayang6835-cyber/bounty-plaza/issues/213,35,MEDIUM,PROMOTED,qualified_economic_opportunity,true,true,false,false,false,false,80.0,2026-07-18T18:46:20.017241+00:00,github:zhangjiayang6835-cyber/bounty-plaza#213,zhangjiayang6835-cyber,bounty-plaza,https://github.com/zhangjiayang6835-cyber/bounty-plaza/issues/213
github_search_api_candidates.csv,zhangjiayang6835-cyber/bounty-plaza,183,"[Bounty] [Bounty] [Bounty] [Bounty] [Bounty $2,500] Optimise/improve accuracy for pow(x, ",https://github.com/zhangjiayang6835-cyber/bounty-plaza/issues/183,35,MEDIUM,PROMOTED,qualified_economic_opportunity,true,true,false,false,false,false,80.0,2026-07-18T18:46:20.018241+00:00,github:zhangjiayang6835-cyber/bounty-plaza#183,zhangjiayang6835-cyber,bounty-plaza,https://github.com/zhangjiayang6835-cyber/bounty-plaza/issues/183
github_search_api_candidates.csv,zhangjiayang6835-cyber/bounty-plaza,490,[Bounty] [claude-builders-bounty/claude-builders-bounty] [BOUNTY $50] SKILL: Generate a s,https://github.com/zhangjiayang6835-cyber/bounty-plaza/issues/490,35,MEDIUM,PROMOTED,qualified_economic_opportunity,true,true,false,false,false,false,80.0,2026-07-18T18:46:20.019241+00:00,github:zhangjiayang6835-cyber/bounty-plaza#490,zhangjiayang6835-cyber,bounty-plaza,https://github.com/zhangjiayang6835-cyber/bounty-plaza/issues/490
github_search_api_candidates.csv,zhangjiayang6835-cyber/bounty-plaza,494,[Bounty] [weilixiong/TentOfTrials] [$25 BOUNTY] [Python] Add independent log parser fixtu,https://github.com/zhangjiayang6835-cyber/bounty-plaza/issues/494,35,MEDIUM,PROMOTED,qualified_economic_opportunity,true,true,false,false,false,false,80.0,2026-07-18T18:46:20.020241+00:00,github:zhangjiayang6835-cyber/bounty-plaza#494,zhangjiayang6835-cyber,bounty-plaza,https://github.com/zhangjiayang6835-cyber/bounty-plaza/issues/494
