id,title,url,organization,reward_amount,reward_currency,start_date,end_date,location,online,participants,status,skills,candidate_score,verification_status
17,Africa Deep Tech Challenge 2026,https://adtc-2026.devpost.com/,Africa Deep Tech Foundation,16500.0,USD,2026-06-17,2026-08-25,Online,1,937,open,"Machine Learning/AI, Productivity",100.0,staged
28,India High School Exoplanet Data Challenge,https://celesta-exoplanet-challenge.devpost.com/,Celesta,10300.0,USD,2026-06-15,2026-07-31,Online,1,315,open,"Beginner Friendly, Low/No Code, Machine Learning/AI",100.0,staged
31,"IGAD Hackathon 2026: Smarter Early Warning, Stronger Communities",https://igad-husika-hackathon.devpost.com/,BuildBeyond,10000.0,USD,2026-06-22,2026-07-31,ICPAC,0,280,open,"Databases, DevOps, Mobile",100.0,staged
15,Backblaze Generative Media Hackathon: Build with Genblaze on B2,https://backblaze-generative-media.devpost.com/,Backblaze,10000.0,USD,2026-06-22,2026-08-03,Online,1,794,open,"Machine Learning/AI, Music/Art, Voice skills",100.0,staged
29,Open Atlas - AI for Social Good Hackathon 2026,https://oa-ai-for-social-good.devpost.com/,Open Atlas,10000.0,USD,2026-06-20,2026-08-20,"India Community Centre, Milpitas, CA",0,301,open,"Education, Fintech, Health",100.0,staged
680,CALL-E: Your Code Is Calling,https://call-e.devpost.com/,CALL-E,10000.0,USD,2026-07-23,2026-09-14,Online,1,2831,open,"Communication, Enterprise, Machine Learning/AI",100.0,staged
13,CockroachDB × AWS Hackathon - Build with Agentic Memory,https://cockroachdb-ai.devpost.com/,Cockroach Labs,8750.0,USD,2026-06-30,2026-08-18,Online,1,1536,open,"Machine Learning/AI, Databases, DevOps",100.0,staged
14,Arm Create: AI Optimization Challenge,https://arm-ai-optimization-challenge.devpost.com/,arm,8000.0,USD,2026-06-04,2026-08-14,Online,1,1426,open,Machine Learning/AI,100.0,staged
18,YouCam API Skin AI & Apparel VTO Hackathon,https://youcam-api.devpost.com/,Perfect Corp,6000.0,USD,2026-07-06,2026-08-17,Online,1,252,open,"Machine Learning/AI, AR/VR, E-commerce/Retail",100.0,staged
720,Hack Away Hunger: Food Insecurity Challenge,https://hack-away-hunger.devpost.com/,dsmhack,5000.0,USD,2026-07-18,2026-10-08,Corteva's Pioneer Shull Building,0,37,open,"Open Ended, Social Good",100.0,staged
41,Galuxium Nexus V2,https://galuxium-nexus-v2-29411.devpost.com/,Galuxium,2944.0,USD,2026-07-15,2026-10-31,Online,1,567,open,"Enterprise, Machine Learning/AI, Productivity",100.0,staged
703,Zero Origin,https://zero-origin.devpost.com/,RotaractClub of SNSCollege of Technology,2500.0,USD,2026-08-27,2026-09-26,Online,1,182,open,"Fintech, Machine Learning/AI, Beginner Friendly",100.0,staged
690,NextStep Hacks 2026,https://nextstep2026.devpost.com/,HackAlphaX,1750.0,USD,2026-08-21,2026-09-13,Online,1,536,open,"Beginner Friendly, Machine Learning/AI, Social Good",100.0,staged
701,Hyperbloom September - AI/ML,https://hyperbloom-september.devpost.com/,hyperbloom hacks,1710.0,USD,2026-08-25,2026-09-14,Online,1,185,open,"IoT, Machine Learning/AI, Social Good",100.0,staged
61,Kuki Designed group,https://kuki-designed-group.devpost.com/,Kuki Designed group,1300.0,USD,2026-07-01,2026-07-31,Ethiopia,0,38,open,"AR/VR, E-commerce/Retail, IoT",100.0,staged
695,COMPSPHERE 12,https://compsphere12.devpost.com/,President University,1247.0,USD,2026-08-03,2026-09-17,Online,1,267,open,"Blockchain, Machine Learning/AI, Cybersecurity",100.0,staged
49,BASK(Business Achievement Spotlight for Kids) Monthly Pitch Competition,https://baskchallenge.devpost.com/,BASK,1000.0,USD,2026-07-01,2026-07-31,Online,1,85,open,"Communication, Open Ended, Social Good",100.0,staged
24,ML Empowerment Build Challenge 2.0,https://ml-empowerment-2.devpost.com/,ML Empowerment Foundation,1000.0,USD,2026-06-30,2026-07-31,Online,1,356,open,"Beginner Friendly, Machine Learning/AI, Social Good",100.0,staged
33,Hack the Arts,https://hackthearts.devpost.com/,Hack the Arts,1000.0,USD,2026-07-01,2026-08-01,Online,1,226,open,"Beginner Friendly, Design, Open Ended",100.0,staged
25,Brainwave 2026,https://brainwaves.devpost.com/,ACT House,1000.0,USD,2026-06-12,2026-08-09,Online,1,354,open,"AR/VR, Blockchain, Communication",100.0,staged
30,QuantumHacks,https://quantumhacks.devpost.com/,Quantumhacks,1000.0,USD,2026-06-21,2026-08-20,Online,1,299,open,"Databases, Fintech, Quantum",100.0,staged
40,GenZ Can Hack 2026,https://genz-can-hack-2026.devpost.com/,Kids for Kids Toronto Coding Club,1000.0,USD,2026-04-01,2026-08-22,Toronto,0,154,open,"Education, Machine Learning/AI, Robotic Process Automation",100.0,staged
693,Beginner's Paradise - FirstCommit,https://firstcommit.devpost.com/,FirstCommit,880.0,USD,2026-08-21,2026-09-30,Online,1,359,open,"Beginner Friendly, Mobile, Web",100.0,staged
707,3rd-Web-Hack,https://3rd-web-hack.devpost.com/,TechZap Club,750.0,USD,2026-08-22,2026-09-27,Online,1,110,open,"Blockchain, Open Ended, Web",100.0,staged
37,Zero to Query: LingoQL Hackathon,https://ztq.devpost.com/,LingoQL,500.0,USD,2026-07-08,2026-07-29,Online,1,178,open,"Education, Productivity, Web",100.0,staged
27,Build Beyond Hackathon,https://build-beyond-hackathon.devpost.com/,BuildBeyond,500.0,USD,2026-06-18,2026-08-16,Online,1,334,open,"Beginner Friendly, Low/No Code, Open Ended",100.0,staged
713,CSC Back-to-School Hackathon,https://csc-back-to-school.devpost.com/,The Webb Schools CSC,400.0,USD,2026-09-04,2026-10-05,Online,1,85,open,"Beginner Friendly, Education, Social Good",100.0,staged
32,Hack The Limit,https://hack-the-limit-1.devpost.com/,HackTheLimit,350.0,USD,2026-06-18,2026-07-30,Online,1,247,open,"Open Ended, Productivity, Social Good",100.0,staged
704,Next Founders Hackathon,https://next-founders.devpost.com/,Student Organization,275.0,USD,2026-08-16,2026-10-15,Online,1,171,open,"Beginner Friendly, Low/No Code, Open Ended",100.0,staged
35,NeuralSprint,https://neuralsprint.devpost.com/,NeuralSprint,150.0,USD,2026-06-18,2026-08-24,Online,1,213,open,"Machine Learning/AI, Social Good, Web",100.0,staged
42,AceSAT Education AI-Agent,https://acesat-ai-agent.devpost.com/,AceSAT,100.0,USD,2026-06-12,2026-08-15,Online,1,138,open,"Education, Machine Learning/AI",100.0,staged
700,Hack2Heal 2.0 - Global Healthcare Innovation Hackathon,https://hack2heal.devpost.com/,Institute of Engineering & Management,100.0,USD,2026-08-25,2026-09-10,Online,1,187,open,"Health, Machine Learning/AI, Beginner Friendly",100.0,staged
59,CSC Summer Impactathon,https://csc-summer-impactathon.devpost.com/,The Webb Schools CSC,80.0,USD,2026-07-09,2026-08-10,Online,1,50,open,"Beginner Friendly, Open Ended, Social Good",100.0,staged
22,3D Websites Hackathon,https://3d-websites-hackathon.devpost.com/,high school,55.0,USD,2026-06-22,2026-07-31,Online,1,368,open,"Design, Web, Beginner Friendly",100.0,staged
26,ImpactForge,https://impactforge.devpost.com/,ImpactForge,300.0,USD,2026-06-19,2026-07-24,Online,1,344,open,"Beginner Friendly, Low/No Code, Social Good",97.0,staged
83,Agentic Cinema: The Blockbuster Hackathon,https://agentic-cinema.devpost.com/,Google,75000.0,USD,2026-07-27,2026-09-09,Online,1,9522,open,"Databases, Machine Learning/AI, Open Ended",87.0,staged
12,Global AI Hackathon Series with Qwen Cloud,https://qwencloud-hackathon.devpost.com/,Alibaba Cloud,45000.0,USD,2026-05-26,2026-07-20,Online,1,8016,open,"Machine Learning/AI, Design, Productivity",87.0,staged
19,VoltHacks,https://volthacks.devpost.com/,Dialogate,35785.0,USD,2026-05-22,2026-09-05,Online,1,1976,open,"IoT, Machine Learning/AI, Beginner Friendly",87.0,staged
20,SmartAIthon 2026,https://smartaithon.devpost.com/,IEEE KCE Student Branch CIS Chapter,10000.0,USD,2026-06-24,2026-07-20,Online,1,604,open,"Beginner Friendly, IoT, Social Good",82.0,staged
706,AI Content Engine Hackathon,https://ai-content-engine-hacks.devpost.com/,NA,2000.0,USD,2026-09-01,2026-09-08,Online,1,132,open,"Beginner Friendly, Machine Learning/AI, Open Ended",82.0,staged
54,TechCommons Hacks,https://techcommons-hacks.devpost.com/,TechCommons,1550.0,USD,2026-07-11,2026-07-20,Online,1,62,open,"Beginner Friendly, Machine Learning/AI, Social Good",82.0,staged
722,SMU LIT Legal-Tech Hackathon 2026,https://smu-lit-hackathon-2026.devpost.com/,SMU LIT,1000.0,USD,2026-09-03,2026-09-06,Singapore,0,32,open,Machine Learning/AI,77.0,staged
718,Code to Connect: Women in Tech Hackathon 2026,https://code-to-connect-wit.devpost.com/,Women in Tech Unimelb,600.0,USD,2026-09-04,2026-09-06,Online,1,44,open,"Beginner Friendly, Communication, Gaming",77.0,staged
709,Agentic Hackathon,https://agentic-hackathon.devpost.com/,Devin,480.0,USD,2026-08-23,2026-09-06,BRAC University,0,90,open,"Machine Learning/AI, Open Ended, Web",77.0,staged
48,DTI Hackathon 2026,https://dti-hackathon-2026-30476.devpost.com/,Cloud Counselage,,USD,2026-06-18,2026-07-31,Online,1,87,open,"Blockchain, Cybersecurity, Web",75.0,staged
55,Sound for All,https://sound-for-all.devpost.com/,TechElevate,,USD,2026-06-26,2026-07-31,Online,1,59,open,"Communication, Productivity, Social Good",75.0,staged
53,NextGen Innovation2026,https://nextgen-innovation-2026.devpost.com/,Innovation Hacks,,USD,2026-07-11,2026-08-08,Online,1,70,open,"Health, Machine Learning/AI, Web",75.0,staged
60,Win4AISafety - Open Research Summer Challenge,https://win4aisafety-sain-utrecht.devpost.com/,SAIN Utrecht,,USD,2026-07-06,2026-08-17,Online,1,44,open,Machine Learning/AI,75.0,staged
50,AI YES :International Youth AI Competition,https://ai-yes-competition-30441.devpost.com/,International AI Youth Education Society,,USD,2026-06-17,2026-09-01,Online,1,80,open,"Beginner Friendly, Education, Machine Learning/AI",75.0,staged
699,Evorozen Apex: NextGen AI Buildathon,https://evorozen-apex.devpost.com/,Evorozen,,USD,2026-07-17,2026-09-20,Online,1,209,open,"Databases, Machine Learning/AI, Web",75.0,staged
57,BunnieX Hackathon,https://buuniex-hackathon.devpost.com/,TechieBunnies team,,USD,2026-06-22,2026-09-22,Online,1,245,open,"Machine Learning/AI, Open Ended, Productivity",75.0,staged
66,LUMA Hackathon (September 20th - 28th),https://luma-hackathon-fall.devpost.com/,LUMA,,USD,2026-06-26,2026-09-28,Online,1,109,open,"Beginner Friendly, Machine Learning/AI, Open Ended",75.0,staged
702,Syntax Summit,https://syntax-summit.devpost.com/,Student Organization,,USD,2026-07-18,2027-01-14,Online,1,182,open,"DevOps, Machine Learning/AI, Robotic Process Automation",75.0,staged
73,Code for Humanity,https://code-for-humanity.devpost.com/,nill,,USD,2026-07-16,2027-01-15,Online,1,298,open,"Education, Machine Learning/AI, Web",75.0,staged
62,DEMOKHE,https://demokhe.devpost.com/,HacKSU,,USD,2026-03-24,2030-03-24,Online,1,35,open,"Education, IoT, Machine Learning/AI",75.0,staged
65,305 SummerCodex Edition July 2026,https://305summercodexjul2026.devpost.com/,CAHSI at FIU,,USD,2026-07-05,2026-07-31,Online,1,23,open,"Beginner Friendly, Education, Lifehacks",70.0,staged
43,Vitalitics 2026,https://vitalitics26.devpost.com/,vitalitics,,USD,2026-06-20,2026-07-31,Online,1,104,open,"Beginner Friendly, Health, Social Good",70.0,staged
34,Assistive Innovation Challenge 2026,https://assistive-innovation-challenge.devpost.com/,Student Innovators Without Borders,,USD,2026-05-04,2026-08-01,Online,1,221,open,"Beginner Friendly, Health, Social Good",70.0,staged
38,Girls In STEM Global Hackathon,https://girlsinstemhackathon.devpost.com/,Girls In Stem MENA&Central Asia,,USD,2026-06-23,2026-08-05,Online,1,174,open,"Beginner Friendly, Low/No Code, Social Good",70.0,staged
93,MunichTech EXPO,https://munichtech-expo.devpost.com/,MunichTecg EXPO,,USD,2026-09-01,2026-09-20,"Munich, Germany",0,87,open,"Low/No Code, Machine Learning/AI, Productivity",70.0,staged
726,Practice to Create [Feedback To All Projects!],https://practicetocreate.devpost.com/,Jitjai Organization,,USD,2026-09-03,2026-09-25,Online,1,10,open,"Beginner Friendly, Low/No Code, Open Ended",70.0,staged
69,HTCJ × PROOF Aviation Futures Challenge,https://htcj-aviation-futures.devpost.com/,hacktheconcretejungle,,USD,2026-06-25,2026-10-27,Boston Venture Week,0,52,open,"Enterprise, Machine Learning/AI, Social Good",70.0,staged
45,DSH Hacks V2,https://dsh-pitch-30500.devpost.com/,STEMise,,USD,2026-06-24,2026-11-08,Online,1,214,open,"Beginner Friendly, Low/No Code, Open Ended",70.0,staged
719,InnovArt 2027: Art and Technology Hack Day,https://innovart2027.devpost.com/,Binnovative,,USD,2026-08-23,2027-01-02,Online,1,40,open,"Music/Art, Beginner Friendly, Open Ended",70.0,staged
44,Hackonomics 2027,https://hackonomics27.devpost.com/,hackonomics,,USD,2026-07-01,2027-06-01,Online,1,95,open,"Beginner Friendly, Education, Open Ended",70.0,staged
743,TLN Hackathon 2026,https://tln-cybersecurity-challenge.devpost.com/,Tech Literacy Network,126929.0,USD,2026-09-19,2026-09-20,Online,1,76,upcoming,"Beginner Friendly, Cybersecurity, Machine Learning/AI",68.0,staged
95,Brewing Codes 4.0,https://brewing-codes-4-0.devpost.com/,HARD MODE,100000.0,USD,2028-03-12,2028-03-27,Online,1,63,upcoming,"Low/No Code, Machine Learning/AI, Web",68.0,staged
47,Ventura Challenge,https://ventura-challenge.devpost.com/,Student Council,,USD,2026-06-01,2026-07-29,Online,1,88,open,"Beginner Friendly, Design, E-commerce/Retail",67.0,staged
716,VentureFix,https://venturefix.devpost.com/,PropNote AI,,USD,2026-08-30,2026-09-13,Online,1,49,open,"Beginner Friendly, Low/No Code, Machine Learning/AI",67.0,staged
712,GatewayGS Hackathon 2,https://gatewaygs-hackathon-2.devpost.com/,GatewayGS,,USD,2026-09-01,2026-09-16,Online,1,84,open,"Beginner Friendly, Machine Learning/AI, Open Ended",67.0,staged
75,LaunchHacks V,https://launchhacks-v.devpost.com/,LaunchHacks,17575.0,USD,2026-12-11,2026-12-15,Online,1,1306,upcoming,"Beginner Friendly, Education, Machine Learning/AI",65.0,staged
100,HackTitan,https://hacktitan.devpost.com/,IWU,10000.0,USD,2027-02-02,2027-02-04,Online,1,96,upcoming,"Beginner Friendly, Databases, DevOps",65.0,staged
725,CAST-GNY Startup Pitch Competition 2026,https://castgnypitch2026.devpost.com/,CAST-GNY,,USD,2026-09-01,2026-09-19,Fordham University School of Law,0,10,open,"Beginner Friendly, Enterprise, Social Good",65.0,staged
23,Next Byte Hacks V3,https://next-byte-hacks-v3.devpost.com/,Next Bytes,,USD,2026-06-15,2026-07-21,Online,1,364,open,"Beginner Friendly, Open Ended, Social Good",62.0,staged
68,Measure up,https://measureme-up.devpost.com/,snap2measure,,USD,2026-07-13,2026-07-27,Online,1,13,open,"Lifehacks, Mobile, Web",62.0,staged
714,CSH Social Impact Ideathon,https://csh-social-impact-ideathon.devpost.com/,CyberSyntax Hub,,USD,2026-08-31,2026-09-11,Online,1,58,open,"Low/No Code, Open Ended, Social Good",62.0,staged
58,AnimalHack 2026,https://animalhack2026.devpost.com/,Binnovative,,USD,2026-06-14,2026-09-12,Online,1,230,open,"Beginner Friendly, Open Ended, Social Good",62.0,staged
724,Music from BeatMind,https://music-from-beatmind.devpost.com/,SPA Bhopal,,USD,2026-08-27,2026-09-12,Online,1,13,open,Music/Art,62.0,staged
94,Rampamble,https://rampamble.devpost.com/,kit,50000.0,USD,2026-07-22,2026-08-20,KIT main building,0,47,upcoming,"Blockchain, Fintech, Machine Learning/AI",60.0,staged
759,YC Fall 2026 x Moss: The Zero Latency Builder Sprint,https://yc-fall-2026-x-moss.devpost.com/,hidevs,50000.0,USD,2026-09-06,2026-09-20,"Bengaluru, India",0,41,upcoming,Machine Learning/AI,60.0,staged
117,Since AI 2026,https://sinceai2026.devpost.com/,Since AI ry,50000.0,USD,2026-11-06,2026-11-08,"Kupittaa Campus, Turku",0,49,upcoming,"Machine Learning/AI, Open Ended, Enterprise",60.0,staged
736,LexHack 2026,https://lexhack-2026.devpost.com/,Lexhack,49560.0,USD,2026-09-11,2026-09-27,Online,1,108,upcoming,"Beginner Friendly, Low/No Code, Social Good",60.0,staged
805,Gator Quant Hacks,https://gqhacks.devpost.com/,University of Florida,25000.0,USD,2026-10-02,2026-10-04,"Gainesville, Florida",0,8,upcoming,"Fintech, Machine Learning/AI",60.0,staged
757,LarpHacks,https://larphacks.devpost.com/,larphacks,21394.0,USD,2026-10-24,2026-10-25,Toronto,0,41,upcoming,"Beginner Friendly, Machine Learning/AI, Web",60.0,staged
811,Hacklanta,https://hacklanta.devpost.com/,progsu,20000.0,USD,2026-10-09,2026-10-11,Student Center East Ballroom GSU,0,7,upcoming,"Beginner Friendly, Machine Learning/AI, Open Ended",60.0,staged
86,codeLinc 11 with Lincoln Financial & AWS,https://codelinc11.devpost.com/,Lincoln Financial Group,10000.0,USD,2026-10-03,2026-10-04,"Lincoln Financial Group - Greensboro, NC",0,301,upcoming,"Enterprise, Fintech, Machine Learning/AI",60.0,staged
848,Sheridan Datathon 2026,https://sheridandatathon2026.devpost.com/,GDG on Campus Sheridan College,10000.0,USD,2026-11-07,2026-11-08,Sheridan College Hazel McCallion Campus,0,2,upcoming,"Beginner Friendly, Databases, Machine Learning/AI",60.0,staged
174,BearHacks 2027,https://bearhacks2027.devpost.com/,BearHacks,10000.0,USD,2027-04-23,2027-04-25,Sheridan College Hazel McCallion Campus,0,16,upcoming,"Machine Learning/AI, Mobile, Web",60.0,staged
79,CS Girlies Annual Hackathon - Technology For Wellness,https://cs-girlies-wellness-hackathon.devpost.com/,Computer Science Girlies,5000.0,USD,2026-08-14,2026-08-16,Online,1,262,upcoming,"Beginner Friendly, Machine Learning/AI, Social Good",60.0,staged
91,"IncludAI - The Neurodiversity Hackathon, in Partnership with Stanford NNEA",https://includai-2026.devpost.com/,"IncludEDU, partner w Stanford NNEA",3000.0,USD,2026-08-01,2026-08-09,Online,1,56,upcoming,"Beginner Friendly, Education, Machine Learning/AI",60.0,staged
78,OneAquaHealth IEEE Global Hackathon,https://oneaquahealth-ieee-hackathon.devpost.com/,OneAquaHealth,3000.0,USD,2026-09-14,2026-10-01,Online,1,664,upcoming,"Health, Machine Learning/AI, Social Good",60.0,staged
733,IEEE ClimateChain Global Hackathon,https://ieee-climatechain-hack.devpost.com/,IEEE Turkey,3000.0,USD,2026-10-05,2026-10-25,Online,1,277,upcoming,"Blockchain, Machine Learning/AI, Social Good",60.0,staged
153,Hacksocial 2026,https://hacksocial2026.devpost.com/,Hacksocial,2500.0,USD,2026-08-01,2026-08-31,Online,1,4,upcoming,"Machine Learning/AI, Open Ended, Social Good",60.0,staged
81,Prometheus July AI Challenge,https://prometheus-july-ai-challenge.devpost.com/,Prometheus,1500.0,USD,2026-07-17,2026-07-30,Online,1,221,upcoming,"Beginner Friendly, Design, Machine Learning/AI",60.0,staged
101,Reverie Hacks 2026,https://reverie-hacks-2026.devpost.com/,ReverieHacks,600.0,USD,2026-08-02,2026-08-17,Online,1,33,upcoming,"Beginner Friendly, Machine Learning/AI, Open Ended",60.0,staged
741,ForgeHacks Online 2026,https://forgehacks-2026.devpost.com/,ForgeHacks,575.0,USD,2026-10-03,2026-10-10,Online,1,78,upcoming,"Beginner Friendly, Lifehacks, Machine Learning/AI",60.0,staged
157,Suvidha AI Virtual Hackathon,https://suvidha-ai-virtual-hackathon.devpost.com/,Suvidha International Foundation,500.0,USD,2026-08-15,2026-08-22,Online,1,3,upcoming,"Beginner Friendly, Low/No Code, Machine Learning/AI",60.0,staged
765,Banana Hacks,https://banana-hacks-1111.devpost.com/,n/a,500.0,USD,2026-10-09,2026-10-12,Online,1,29,upcoming,"Beginner Friendly, Machine Learning/AI, Web",60.0,staged
92,Iris Hacks IV,https://iris-hacks-iv.devpost.com/,Iris Hacks,400.0,USD,2026-08-08,2026-08-09,Online,1,56,upcoming,"Machine Learning/AI, Open Ended, Beginner Friendly",60.0,staged
745,Arbiter Hacks V1,https://arbiter-hacks-v1.devpost.com/,Arbiter,300.0,USD,2026-10-20,2026-12-21,Online,1,65,upcoming,"Beginner Friendly, Machine Learning/AI, Open Ended",60.0,staged
89,evensonarisnord,https://evensonarisnord.devpost.com/,HoustonHacks2026,150.0,USD,2026-12-31,2026-12-31,Online,1,94,upcoming,"Communication, Databases",60.0,staged
141,STEM Energy Hackathon,https://stem-energy-hackathon-30249.devpost.com/,Young Scholars Education Limited,100000.0,USD,2026-08-10,2026-08-10,To be addressed soon,0,6,upcoming,Education,58.0,staged
72,Prompt Insights News,https://prompt-insights-news.devpost.com/,to be determined,,USD,2026-07-16,2026-07-25,"Pitkin, CO, USA",0,1,open,Web,57.0,staged
586,DevNetwork [API + Cloud + AI] Hackathon 2026,https://api-cloud-ai-hackathon-2026.devpost.com/,DevNetwork,,USD,,,,0,1344,unknown,"api, cloud",56.0,staged
3,Global AI Hackathon Series with Qwen Cloud,https://qwencloud-hackathon.devpost.com/,Alibaba Cloud,,USD,,,,0,8015,unknown,"ai, cloud",56.0,staged
9,YouCam API Skin AI & Apparel VTO Hackathon,https://youcam-api.devpost.com/,Perfect Corp,,USD,,,,0,251,unknown,"ai, api",56.0,staged
836,CyberX 26 CTF,https://cyberx-26-ctf.devpost.com/,RNS Institute of Technology,30000.0,USD,2026-09-30,2026-10-01,"Bengaluru, India",0,4,upcoming,Cybersecurity,55.0,staged
798,Hacks for Humanity,https://hacks-for-humanity-2026.devpost.com/,Project Humanities,17600.0,USD,2026-10-10,2026-10-11,"ASU Memorial Union , Ventana Ballroom",0,10,upcoming,"Beginner Friendly, Education, Social Good",55.0,staged
98,"The Blueprint Hackathon (For All Ages, July 17th-31st)",https://the-blueprint-hackathon.devpost.com/,Blueprint Hackathon,8176.0,USD,2026-07-17,2026-07-31,Online,1,36,upcoming,"Beginner Friendly, Education, Open Ended",55.0,staged
734,Hack Apertus,https://hackapertus.devpost.com/,aiLights Association,8010.0,USD,2026-10-01,2026-10-16,Grand Finals 2027,0,219,upcoming,"Education, Machine Learning/AI, Social Good",55.0,staged
105,Hack Atlantic,https://hack-atlantic-2026.devpost.com/,Hack Atlantic,6000.0,USD,2026-09-27,2026-09-27,"Fredericton, New Brunswick",0,40,upcoming,"Beginner Friendly, DevOps, Fintech",55.0,staged
764,AI Agent Hackathon,https://coffee-and-code-agent.devpost.com/,Coffee and Code Philadelphia,5600.0,USD,2026-09-20,2026-09-20,Pennovation center,0,33,upcoming,"Machine Learning/AI, Low/No Code",55.0,staged
827,"HackStorm 3.0: Sense, Think and Act",https://hackstorm3.devpost.com/,HackStorm,5200.0,USD,2026-11-06,2026-11-08,"San Francisco, California, USA",0,6,upcoming,"DevOps, IoT, Robotic Process Automation",55.0,staged
145,DARK ARMY CTF 2026,https://dark-army-ctf-2026.devpost.com/,DARK_ARMY_GROUP x CTF7,5000.0,USD,2026-08-08,2026-08-09,Online,1,5,upcoming,"Beginner Friendly, Cybersecurity, Education",55.0,staged
852,COMMA_HACK 7,https://comma-hack-7.devpost.com/,comma.ai,4750.0,USD,2026-09-18,2026-09-20,comma HQ,0,1,upcoming,"IoT, Machine Learning/AI, Open Ended",55.0,staged
755,EurekaDev 2026,https://eurekadev.devpost.com/,Eureka Institute and UnivaDev,4332.0,USD,2027-08-27,2027-10-20,Online,1,46,upcoming,"Beginner Friendly, Open Ended, Social Good",55.0,staged
82,DevNetwork [API + Cloud + AI] Hackathon 2026,https://api-cloud-ai-hackathon-2026.devpost.com/,DevNetwork,3000.0,USD,2026-08-17,2026-09-03,Santa Clara Convention Center and Online,0,194,upcoming,"IoT, Low/No Code, Machine Learning/AI",55.0,staged
164,Dublin Hacx,https://dublin-hacx.devpost.com/,Emerald High School,2250.0,USD,2026-10-03,2026-10-04,"SAP Office — San Ramon, CA",0,24,upcoming,"Open Ended, Beginner Friendly, Machine Learning/AI",55.0,staged
