"task_title","url","reward","currency","payment_type","source","status"
"Define and test WordPress planning behaviour for posts without H2 headings","https://github.com/yoldaolmak/Pictovap/issues/26","","unknown","unknown","GitHub","discovered"
"Preserve inline-formatted Gutenberg heading text in placement targets","https://github.com/yoldaolmak/Pictovap/issues/25","","unknown","unknown","GitHub","discovered"
"Add a realistic Gutenberg blocks fixture for VisualBrief regression tests","https://github.com/yoldaolmak/Pictovap/issues/24","","unknown","unknown","GitHub","discovered"
"feat: add CSS Staggered Entrance Tooltip for Neumorphic Soft Layouts …","https://github.com/SAPTARSHI-coder/EaseMotion-css/pull/49457","","unknown","unknown","GitHub","discovered"
"feat(repo-card): show license badges on repository cards","https://github.com/Sanket-103-pvt/Git-Stats/pull/103","","unknown","unknown","GitHub","discovered"
"feat: add 3d perspective tilt tooltip submission","https://github.com/SAPTARSHI-coder/EaseMotion-css/pull/49456","","unknown","unknown","GitHub","discovered"
"[Good First Issue] 🪭 Add new Theme: Wasabi Punch - Beginner-Friendly Open-source Contribution","https://github.com/lingdojo/kana-dojo/issues/24952","","unknown","unknown","GitHub","discovered"
"Revise and expand documentation on approving workflow runs from forks","https://github.com/Sazwanend/firebase-android-sdk/pull/2","","unknown","unknown","GitHub","discovered"
"Docs: document SIGN_BIND_HOST in the environment reference","https://github.com/LiftedHoldings/lifted-sign/issues/16","","unknown","unknown","GitHub","discovered"
"Docs: document the operational probes (/healthz, /readyz, /version)","https://github.com/LiftedHoldings/lifted-sign/issues/15","","unknown","unknown","GitHub","discovered"
"Tests: add unit tests for pdf_redact.py","https://github.com/LiftedHoldings/lifted-sign/issues/14","","unknown","unknown","GitHub","discovered"
"Webhooks: emit an `envelope.reminded` event when a reminder is sent","https://github.com/LiftedHoldings/lifted-sign/issues/13","","unknown","unknown","GitHub","discovered"
"SDK: add a pagination iterator for the list endpoints","https://github.com/LiftedHoldings/lifted-sign/issues/12","","unknown","unknown","GitHub","discovered"
"Add runnable end-to-end example scripts (create → send → poll → download)","https://github.com/LiftedHoldings/lifted-sign/issues/11","","unknown","unknown","GitHub","discovered"
"Node SDK: ship TypeScript type definitions (.d.ts) + package.json","https://github.com/LiftedHoldings/lifted-sign/issues/10","","unknown","unknown","GitHub","discovered"
"feat: add CSS Spring Physics Tooltip for Cyberpunk Neon Layouts #46290","https://github.com/SAPTARSHI-coder/EaseMotion-css/pull/49455","","unknown","unknown","GitHub","discovered"
"fix(memory-write): preserve provenance and reject failed updates (#770)","https://github.com/moorcheh-ai/memanto/pull/1507","","unknown","unknown","GitHub","discovered"
"fix(ui): escape dynamic HTML in dashboard and memory views","https://github.com/moorcheh-ai/memanto/pull/1506","","unknown","unknown","GitHub","discovered"
"[2 USDC] Verify canonical settlement evidence","https://github.com/NSPG13/agent-bounties/issues/360","","unknown","unknown","GitHub","discovered"
"[2 USDC] Implement safe next action for agent claims","https://github.com/NSPG13/agent-bounties/issues/358","","unknown","unknown","GitHub","discovered"
"fix: temporal filter silently returns all memories on malformed timestamp","https://github.com/moorcheh-ai/memanto/pull/1505","","unknown","unknown","GitHub","discovered"
"[BUG] S3 Bucket Misconfiguration → Mass Data Leak $120","https://github.com/zhangjiayang6835-cyber/ai-research/issues/1248","","unknown","unknown","GitHub","discovered"
"[BUG] Hardcoded AWS Keys in Public Artifact → Cloud Takeover $180","https://github.com/zhangjiayang6835-cyber/ai-research/issues/1247","","unknown","unknown","GitHub","discovered"
"[BUG] HTTP/2 Downgrade → Request Smuggling $200","https://github.com/zhangjiayang6835-cyber/ai-research/issues/1246","","unknown","unknown","GitHub","discovered"
"[BUG] Second-Order SQL Injection via Stored XSS Data $150","https://github.com/zhangjiayang6835-cyber/ai-research/issues/1245","","unknown","unknown","GitHub","discovered"
"[BUG] Predictable OAuth State Token → CSRF + Account Takeover $150","https://github.com/zhangjiayang6835-cyber/ai-research/issues/1244","","unknown","unknown","GitHub","discovered"
"[BUG] ECB Mode Encryption → Data Leak via Pattern Matching $120","https://github.com/zhangjiayang6835-cyber/ai-research/issues/1243","","unknown","unknown","GitHub","discovered"
"fix(mcp): restrict automatic agent creation","https://github.com/moorcheh-ai/memanto/pull/1503","","unknown","unknown","GitHub","discovered"
"fix: block cross-site management token theft","https://github.com/moorcheh-ai/memanto/pull/1502","","unknown","unknown","GitHub","discovered"
"🎯 Fix: Database Lock Leaked on Context Cancellation During Force -> Up Migration Sequence","https://github.com/Thomasuw10/migrate/issues/1","","unknown","unknown","GitHub","discovered"
"🎯 Fix Protocol Desynchronization on Context Cancellation During Row Streaming","https://github.com/Thomasuw10/mysql/issues/1","","unknown","unknown","GitHub","discovered"
"🎯 Fix Recovery Interceptor to Invoke Recovery Handler for Panics During Active Stream Processing","https://github.com/Thomasuw10/middleware/issues/1","","unknown","unknown","GitHub","discovered"
"🎯 Fix Header Accumulation and Duplication During Retries in `PrepareRetry`","https://github.com/Thomasuw10/retryablehttp/issues/1","","unknown","unknown","GitHub","discovered"
"🎯 Prevent connection state corruption when CopyFrom is interrupted by context cancellation","https://github.com/Thomasuw10/pgx/issues/1","","unknown","unknown","GitHub","discovered"
"🎯 Fix race condition between `Registry.Unregister` and concurrent `Registry.Gather` leading to partial metric scrapes","https://github.com/RyanAdam60/client_golang/issues/1","","unknown","unknown","GitHub","discovered"
"🎯 Fix Deadlock When Running Job Attempts Self-Removal via RemoveByReference","https://github.com/RyanAdam60/gocron/issues/1","","unknown","unknown","GitHub","discovered"
"🎯 Fix Struct Metadata Cache Collision for Distinct Structs Sharing Anonymous Embedded Structs","https://github.com/RyanAdam60/validator/issues/1","","unknown","unknown","GitHub","discovered"
"🎯 Prevent validation state and claim leakage when reusing Claims instances in ParseWithClaims","https://github.com/RyanAdam60/jwt/issues/1","","unknown","unknown","GitHub","discovered"
"🎯 Fix: Request body is lost on retries when using `io.Reader`","https://github.com/RyanAdam60/resty/issues/1","","unknown","unknown","GitHub","discovered"
"🎯 Prevent Transparent Retries of Pipelines Containing Non-Idempotent Commands on Connection Reset","https://github.com/RyanAdam60/go-redis/issues/1","","unknown","unknown","GitHub","discovered"
"修复 Open Library 借阅页面渲染","https://github.com/Open-Source-Bazaar/Open-Source-Bazaar.github.io/issues/98","","unknown","unknown","GitHub","discovered"
"对接【开源图书馆】飞书多维表格 API","https://github.com/Open-Source-Bazaar/Open-Source-Bazaar.github.io/issues/96","","unknown","unknown","GitHub","discovered"
"提升【开源市集】官网 SSG 构建速度","https://github.com/Open-Source-Bazaar/Wiki/issues/2","","unknown","unknown","GitHub","discovered"
"[harnessclaw/harnessclaw] [Reward] HarnessClaw 体验测评（任一场景） #2","https://github.com/Vikingr2023/awesome-agent-bounties/issues/168","","unknown","unknown","GitHub","discovered"
"[Open-Source-Bazaar/Open-Source-Bazaar.github.io] 开源市集代码贡献指南","https://github.com/Vikingr2023/awesome-agent-bounties/issues/166","","unknown","unknown","GitHub","discovered"
"[Open-Source-Bazaar/Open-Source-Bazaar.github.io] [Reward] Bot Killer","https://github.com/Vikingr2023/awesome-agent-bounties/issues/165","","unknown","unknown","GitHub","discovered"
"[idea2app/MobX-GitHub] MobX-GitHub 新增 Git Tree API 封装类","https://github.com/Vikingr2023/awesome-agent-bounties/issues/164","","unknown","unknown","GitHub","discovered"
"[Vikingr2023/awesome-agent-bounties] [cpagent78/crawler-network] [P3] 크롤러 피드백 API + 학습 로직","https://github.com/Vikingr2023/awesome-agent-bounties/issues/146","","unknown","unknown","GitHub","discovered"
"[Vikingr2023/awesome-agent-bounties] [Vikingr2023/awesome-agent-bounties] [cpagent78/crawler-netw","https://github.com/Vikingr2023/awesome-agent-bounties/issues/144","","unknown","unknown","GitHub","discovered"
"[Vikingr2023/awesome-agent-bounties] [Vikingr2023/awesome-agent-bounties] [Open-Source-Bazaar/Ope","https://github.com/Vikingr2023/awesome-agent-bounties/issues/143","","unknown","unknown","GitHub","discovered"
"[Vikingr2023/awesome-agent-bounties] [Vikingr2023/awesome-agent-bounties] [Digital-Nomad-Home/Lin","https://github.com/Vikingr2023/awesome-agent-bounties/issues/142","","unknown","unknown","GitHub","discovered"
"[Vikingr2023/awesome-agent-bounties] [Vikingr2023/awesome-agent-bounties] [Digital-Nomad-Home/Lin","https://github.com/Vikingr2023/awesome-agent-bounties/issues/141","","unknown","unknown","GitHub","discovered"
"[Vikingr2023/awesome-agent-bounties] [Vikingr2023/awesome-agent-bounties] [Digital-Nomad-Home/Lin","https://github.com/Vikingr2023/awesome-agent-bounties/issues/140","","unknown","unknown","GitHub","discovered"
"[Vikingr2023/awesome-agent-bounties] [Vikingr2023/awesome-agent-bounties] [Open-Source-Bazaar/Ope","https://github.com/Vikingr2023/awesome-agent-bounties/issues/139","","unknown","unknown","GitHub","discovered"
"[Vikingr2023/awesome-agent-bounties] [Vikingr2023/awesome-agent-bounties] [Open-Source-Bazaar/Ope","https://github.com/Vikingr2023/awesome-agent-bounties/issues/137","","unknown","unknown","GitHub","discovered"
"[Vikingr2023/awesome-agent-bounties] [Vikingr2023/awesome-agent-bounties] [idea2app/MobX-GitHub] ","https://github.com/Vikingr2023/awesome-agent-bounties/issues/135","","unknown","unknown","GitHub","discovered"
"[Vikingr2023/awesome-agent-bounties] [idea2app/MobX-GitHub] MobX-GitHub 新增 Git Tree API 封装类","https://github.com/Vikingr2023/awesome-agent-bounties/issues/101","","unknown","unknown","GitHub","discovered"
"[Vikingr2023/awesome-agent-bounties] [Open-Source-Bazaar/Open-Source-Bazaar.github.io] [Reward] B","https://github.com/Vikingr2023/awesome-agent-bounties/issues/100","","unknown","unknown","GitHub","discovered"
"[Vikingr2023/awesome-agent-bounties] [Open-Source-Bazaar/Open-Source-Bazaar.github.io] 开源市集代码贡献指南","https://github.com/Vikingr2023/awesome-agent-bounties/issues/99","","unknown","unknown","GitHub","discovered"
"[Vikingr2023/awesome-agent-bounties] [Digital-Nomad-Home/LinJuLi-MiniApp] 开源悬赏平台增加“交易”功能","https://github.com/Vikingr2023/awesome-agent-bounties/issues/97","","unknown","unknown","GitHub","discovered"
"[Vikingr2023/awesome-agent-bounties] [Digital-Nomad-Home/LinJuLi-MiniApp] 开发开源悬赏平台“代币交易所” 功能","https://github.com/Vikingr2023/awesome-agent-bounties/issues/96","","unknown","unknown","GitHub","discovered"
"[Vikingr2023/awesome-agent-bounties] [Digital-Nomad-Home/LinJuLi-MiniApp] 开发开源悬赏平台的“权益商城”功能","https://github.com/Vikingr2023/awesome-agent-bounties/issues/95","","unknown","unknown","GitHub","discovered"
"[Vikingr2023/awesome-agent-bounties] [Open-Source-Bazaar/Open-Source-Bazaar.github.io] 基于 OCToken","https://github.com/Vikingr2023/awesome-agent-bounties/issues/94","","unknown","unknown","GitHub","discovered"
"[Vikingr2023/awesome-agent-bounties] [cpagent78/crawler-network] [P3] 크롤러 피드백 API + 학습 로직","https://github.com/Vikingr2023/awesome-agent-bounties/issues/93","","unknown","unknown","GitHub","discovered"
"[cpagent78/crawler-network] [P3] 크롤러 피드백 API + 학습 로직","https://github.com/Vikingr2023/awesome-agent-bounties/issues/58","","unknown","unknown","GitHub","discovered"
"[Open-Source-Bazaar/Open-Source-Bazaar.github.io] 基于 OCToken NFT 机制实现【开放协作人奖】颁发程序","https://github.com/Vikingr2023/awesome-agent-bounties/issues/57","","unknown","unknown","GitHub","discovered"
"[Digital-Nomad-Home/LinJuLi-MiniApp] 开发开源悬赏平台的“权益商城”功能","https://github.com/Vikingr2023/awesome-agent-bounties/issues/56","","unknown","unknown","GitHub","discovered"
"[Digital-Nomad-Home/LinJuLi-MiniApp] 开发开源悬赏平台“代币交易所” 功能","https://github.com/Vikingr2023/awesome-agent-bounties/issues/55","","unknown","unknown","GitHub","discovered"
"[Digital-Nomad-Home/LinJuLi-MiniApp] 开源悬赏平台增加“交易”功能","https://github.com/Vikingr2023/awesome-agent-bounties/issues/54","","unknown","unknown","GitHub","discovered"
"feat(trusty-gworkspace): reload oauth_client.json on invalid_client refresh failure — stale in-memory client creds outlive on-disk fix","https://github.com/bobmatnyc/trusty-tools/issues/2946","","unknown","unknown","GitHub","discovered"
"Space in mod jar leads to 403 Forbidden","https://github.com/itzg/docker-minecraft-server/issues/4177","","unknown","unknown","GitHub","discovered"
"[Issue]: v2.3.3 — NovelAI style plate: ""Choose image"" blanks the connection editor panel, image can never be set","https://github.com/Pasta-Devs/Marinara-Engine/issues/3757","","unknown","unknown","GitHub","discovered"
"test_ 2026-07-17T19:41:30Z","https://github.com/integrationMCTaw1va/integrationMCT/issues/127639","","unknown","unknown","GitHub","discovered"
"Nil pointer crash when bbolt reopen fails during compaction on_start","https://github.com/open-telemetry/opentelemetry-collector-contrib/issues/49735","","unknown","unknown","GitHub","discovered"
"Startup and launch-path hardening: unguarded mouse mode, unverified gh termination on refresh timeout, stale solve chooser clobbers an attached session","https://github.com/coghex/kanban/issues/40","","unknown","unknown","GitHub","discovered"
"[backend] [MEDIUM] Dashboard shows no tokens/cost for sdlc fix (fix-issue) runs","https://github.com/fxmartin/claude-code-config/issues/477","","unknown","unknown","GitHub","discovered"
"[Bug] upon death in ashad, you do not go to the church.  you transport to the oasis area of the map.","https://github.com/jasona/darkwind-public/issues/1235","","unknown","unknown","GitHub","discovered"
"Fix freeze on loading installed modules","https://github.com/KSP-CKAN/CKAN/pull/4695","","unknown","unknown","GitHub","discovered"
"bug(daemon): GIT_DIR/GIT_WORK_TREE containment pin leaks into every subprocess of a --worktree session","https://github.com/theshadow27/mcp-cli/issues/2919","","unknown","unknown","GitHub","discovered"
"fix: worker /execute returns 403 invalid token principal","https://github.com/srallapally/iga-scheduler-backend/issues/44","","unknown","unknown","GitHub","discovered"
"[spawn] False 'failed to start' + 'No conversation found' on duplicate-concurrent spawn","https://github.com/alondero/buildmesh/issues/866","","unknown","unknown","GitHub","discovered"
"Hands-free can falsely lock in when the first press is refused at the missing-model gate","https://github.com/saurabhav88/EnviousWispr/issues/1631","","unknown","unknown","GitHub","discovered"
"webgpt: submit-output-contract failed — WebGPT returned no unified diff and no finished-file zip","https://github.com/grahama1970/agent-skills/issues/173","","unknown","unknown","GitHub","discovered"
"Legacy chat deprecation warning; opt into TextChatService","https://github.com/noelmom/fireteamlabs/issues/32","","unknown","unknown","GitHub","discovered"
"Hardening: reject RFC 8215 local-use translation prefix in remote image URLs","https://github.com/marmot-protocol/whitenoise-mac/issues/541","","unknown","unknown","GitHub","discovered"
"SYCL build: runtime server aborts (std::terminate) on a host with no GPU, failing 9 CPU-only tests","https://github.com/iowarp/clio-core/issues/765","","unknown","unknown","GitHub","discovered"
"[elredactor]-feature/sql_db-#42","https://github.com/centrocampista/elredactor/issues/16","","unknown","unknown","GitHub","discovered"
"Bug: Mug 2 becomes unavailable on full update when MUG_NAME characteristic fc540001 is missing","https://github.com/sopelj/hass-ember-mug-component/issues/142","","unknown","unknown","GitHub","discovered"
"Wire custom volume scope to background summarization","https://github.com/joshbotts/FRUS-Explorer/issues/367","","unknown","unknown","GitHub","discovered"
"testStep may report stale pass/fail results when derived .prg/.vs/.specOut already exist","https://github.com/c64lib/gradle-retro-assembler-plugin/issues/175","","unknown","unknown","GitHub","discovered"
"Title unreadable on iOS 27","https://github.com/Aidoku/Aidoku/issues/1028","","unknown","unknown","GitHub","discovered"
"BUG: rate-limits on complex queries to GraphQL API","https://github.com/cicirello/user-statistician/issues/315","","unknown","unknown","GitHub","discovered"
"fix(playback): keep DASH player alive across queue advance in background","https://github.com/carlelieser/aria/pull/61","","unknown","unknown","GitHub","discovered"
"[Bug]: Media error when selecting some playlist in ""Add Media"" menu","https://github.com/isyuricunha/yumusic-garmin-music-app/issues/21","","unknown","unknown","GitHub","discovered"
"[Bug]: Disabling options in a mod leaves the files in the deploy location","https://github.com/NiceneNerd/UKMM/issues/335","","unknown","unknown","GitHub","discovered"
"[Bug]: case-colliding ProfileMenu paths prevent clean Windows checkouts","https://github.com/topoteretes/cognee/issues/4113","","unknown","unknown","GitHub","discovered"
"[MODEL]  Claude refused accept that you could solve an equation using the transitive property of math, where a formula with 2 known values and one unknown could be used to calculate the unknown value","https://github.com/anthropics/claude-code/issues/78637","","unknown","unknown","GitHub","discovered"
"Live transcripts force-scroll to the bottom on every output event, making scrollback unreadable while an agent runs","https://github.com/coghex/kanban/issues/39","","unknown","unknown","GitHub","discovered"
"[Windows App] Sandbox process outlives completed subagent and continues consuming memory","https://github.com/openai/codex/issues/33894","","unknown","unknown","GitHub","discovered"
"ISSUE: triage-issue has no scope-membership check — in-scope issues of an open unit must resolve on that unit's branch (fix-in-unit route, incremental replan)","https://github.com/gtrabanco/agentic-workflow/issues/87","","unknown","unknown","GitHub","discovered"
"Funnel string-pulling: hug the clearance-grown terrain boundary along straightaways, not just at corners","https://github.com/Lacaedemon/sparta/issues/944","","unknown","unknown","GitHub","discovered"
"feat(escalation): per-step retries with terminal state (RFC 0006)","https://github.com/Heva-Co/piro/pull/182","","unknown","unknown","GitHub","discovered"
"Fix: duplicate items in cart","https://github.com/mariohbrino/sleepoutsidewdd330/pull/31","","unknown","unknown","GitHub","discovered"
"Working on #6, Hello World in Node express","https://github.com/Solracs/vibecoding-security-benchmark/pull/8","","unknown","unknown","GitHub","discovered"
"Add PWA support","https://github.com/yash91sharma/billa-gates/issues/2","","unknown","unknown","GitHub","discovered"
"feat: probe-band-links v3 — engine-agnostic web-search fallback","https://github.com/BreakableHoodie/settimesdotca/pull/629","","unknown","unknown","GitHub","discovered"
"[SM] Dividir falas entre os 28 membros da equipe","https://github.com/Portal-Conecta/gestao-sm/issues/22","","unknown","unknown","GitHub","discovered"
"ISSUE: triage-issue fix-now on an open unit bypasses the fold ledger — append a provenance-marked row so fold-findings runs one queue","https://github.com/gtrabanco/agentic-workflow/issues/86","","unknown","unknown","GitHub","discovered"
"ID field","https://github.com/gacsilva2005/API-rest-learning/pull/7","","unknown","unknown","GitHub","discovered"
"[Auto-Trace] 🛡️ Sentinel: [CRITICAL] Fix DoS via memory exhaustion in S3 list handler","https://github.com/alsotoes/momo/issues/295","","unknown","unknown","GitHub","discovered"
"variants: broaden corruption auto-repair (format-swap recovery + optional corrupted-source backup)","https://github.com/zudolab/zudo-image-tweaker/issues/99","","unknown","unknown","GitHub","discovered"
"建议可选隐藏`主题`按钮","https://github.com/HeiGeAi/heige-codex-skin-studio/issues/8","","unknown","unknown","GitHub","discovered"
"Nullable outputs (IDL flag) + streamable MAMA-as-MAType arm","https://github.com/TA-Lib/ta-lib/issues/125","","unknown","unknown","GitHub","discovered"
"feat: Ondas 1–3 do roadmap + redesenho do modal Novo Terminal","https://github.com/felipeabreu2/orkestra/pull/1","","unknown","unknown","GitHub","discovered"
"Create build CI","https://github.com/letsdevapps/go-rest/issues/1","","unknown","unknown","GitHub","discovered"
"logout button front-end","https://github.com/berylllium/harmony/issues/7","","unknown","unknown","GitHub","discovered"
"Video player loop feature","https://github.com/cloudreve/cloudreve/issues/3508","","unknown","unknown","GitHub","discovered"
"Community rate-limit response should include an upgrade path","https://github.com/octopusreview/octopus/issues/621","","unknown","unknown","GitHub","discovered"
"Bump `aws-cli` version to 2.36.2","https://github.com/jenkins-infra/jenkins-infra/pull/4969","","unknown","unknown","GitHub","discovered"
"Notifications internes","https://github.com/Pokebeer-Inc/pokebeer/issues/58","","unknown","unknown","GitHub","discovered"
"Bundle consecutive voice notes from the same sender into one transcript","https://github.com/neoromantic/hermes-telegram-business/issues/9","","unknown","unknown","GitHub","discovered"
"Publish raw transcripts immediately, then replace them with cleaned text in place","https://github.com/neoromantic/hermes-telegram-business/issues/8","","unknown","unknown","GitHub","discovered"
"feat(svg): named rows for configured external repos","https://github.com/TurboCoder13/git-replay/issues/40","","unknown","unknown","GitHub","discovered"
"feat(render): light-mode SVG variants","https://github.com/TurboCoder13/git-replay/issues/39","","unknown","unknown","GitHub","discovered"
"feat(render): data-as-of stamp on widgets and page","https://github.com/TurboCoder13/git-replay/issues/38","","unknown","unknown","GitHub","discovered"
"perf(fetch): incremental fetch via cached commit logs","https://github.com/TurboCoder13/git-replay/issues/37","","unknown","unknown","GitHub","discovered"
"perf(fetch): parallelize repo clone fan-out","https://github.com/TurboCoder13/git-replay/issues/36","","unknown","unknown","GitHub","discovered"
