truth_rank,truth_status,truth_reason,live_state,comments,open_competing_prs,reward_basis,source_validation,rank,queue_status,verification_score,priority_score,title,category,source,url,reward_amount,reward_currency,payment_method,difficulty,estimated_hours,risk_level,country_eligibility,country_restrictions,kyc_required,human_approval_required,verification_status,recommended_action,recommendation_reason,verified_at,eligibility_status
13,SOURCE_REVIEW_REQUIRED,Fonte externa ainda exige validação específica da plataforma.,external_source,0,,reported_amount_unverified,unverified,9,ELIGIBILITY_REVIEW_REQUIRED,86.5,99.5,https://www.drivendata.org/competitions/311/dat-parkinsons-challenge/,ai_data_competition,DrivenData Prize Competitions,https://www.drivendata.org/competitions/311/dat-parkinsons-challenge/,125002.0,EUR,,alta,80.0,baixo,UNKNOWN_REVIEW_REQUIRED,"eligibility, to allow for independent result verification",0,1,approval_required,Revisar requisitos e autorizar a preparação.,"A oportunidade é promissora, mas exige ação humana sensível.",2026-09-05T19:56:45.898025+00:00,
14,SOURCE_REVIEW_REQUIRED,Fonte externa ainda exige validação específica da plataforma.,external_source,0,,reported_amount_unverified,unverified,7,PAYMENT_ROUTE_REVIEW_REQUIRED,85.5,98.5,https://www.drivendata.org/competitions/56/predict-cleaning-time-series/,ai_data_competition,DrivenData Prize Competitions,https://www.drivendata.org/competitions/56/predict-cleaning-time-series/,20000.0,EUR,,alta,80.0,baixo,BRAZIL_LIKELY_ELIGIBLE,Eligibility The Competition is open to all natural persons over the age of 18 at the time of entry,0,1,approval_required,Revisar requisitos e autorizar a preparação.,"A oportunidade é promissora, mas exige ação humana sensível.",2026-09-05T19:56:55.636708+00:00,
15,BLOCKED_EXTERNAL_MIRROR,É um espelho/agregador; somente a issue original pode ser validada e executada.,open,3,,accepted_submission_not_guaranteed,unverified,10,ELIGIBILITY_REVIEW_REQUIRED,81.7,92.7,[aLexzzz430/Cognitive-OS] [ Bounty $3k ] [ Research ] Collect and compare AI-generated,open_source_bounty,GitHub Reward Issues,https://github.com/Vikingr2023/awesome-agent-bounties/issues/52,3000.0,USD,private_after_acceptance,baixa,8.0,baixo,UNKNOWN_REVIEW_REQUIRED,,unknown_not_disclosed,0,actionable,"Preparar candidatura, proposta ou prova de conceito.","Link ativo, recompensa explícita e baixo risco identificado.",2026-07-15T14:35:02.695054+00:00,
16,BLOCKED_EXTERNAL_MIRROR,É um espelho/agregador; somente a issue original pode ser validada e executada.,open,3,,accepted_submission_not_guaranteed,unverified,11,ELIGIBILITY_REVIEW_REQUIRED,81.7,92.7,[aLexzzz430/Cognitive-OS] [ Bounty $3k ] [ Research ] Collect and compare AI-generated,open_source_bounty,GitHub Reward Issues,https://github.com/Vikingr2023/awesome-agent-bounties/issues/167,3000.0,USD,private_after_acceptance,baixa,8.0,baixo,UNKNOWN_REVIEW_REQUIRED,,unknown_not_disclosed,0,actionable,"Preparar candidatura, proposta ou prova de conceito.","Link ativo, recompensa explícita e baixo risco identificado.",2026-07-15T14:35:00.891883+00:00,
17,BLOCKED_HIGH_COMPETITION,"Há 28 PRs concorrentes relacionados (incluindo #48, #47, #45, #44, #43); não investir trabalho nesta oportunidade saturada.",open,65,28,accepted_submission_not_guaranteed,unverified,12,ELIGIBILITY_REVIEW_REQUIRED,81.7,92.7,[ Bounty $3k ] [ Research ] Collect and compare AI-generated AGI architecture proposals,open_source_bounty,GitHub Reward Issues,https://github.com/aLexzzz430/Cognitive-OS/issues/5,3000.0,USD,private_after_acceptance,baixa,8.0,baixo,UNKNOWN_REVIEW_REQUIRED,,unknown_not_disclosed,0,actionable,Não iniciar. Arquivar e priorizar oportunidade com concorrência baixa.,"Link ativo, recompensa explícita e baixo risco identificado.",2026-07-15T14:34:59.101626+00:00,
18,BLOCKED_CLOSED_OR_COMPLETED,A API do GitHub informa que a oportunidade não está aberta.,closed,1,,reported_amount_unverified,unverified,13,ELIGIBILITY_REVIEW_REQUIRED,80.14,92.31,Tool discovery 2026-07-15: 6 candidates,paid_development,GitHub Paid Issues,https://github.com/TarronKayAUA/aua-ai-hub/issues/21,4167.0,USD,GitHub Sponsors,média,30.0,baixo,UNKNOWN_REVIEW_REQUIRED,"Open Tool discovery 2026-07-15: 6 candidates #21 Copy link Description TarronKayAUA opened on Jul 15, 2026 Issue body actions This is the monthly propose-only tool dis",0,1,approval_required,Revisar requisitos e autorizar a preparação.,"A oportunidade é promissora, mas exige ação humana sensível.",2026-07-15T14:35:25.663885+00:00,
19,BLOCKED_REWARD_CONTEXT_FALSE_POSITIVE,O valor encontrado não aparece em contexto explícito de prêmio/pagamento.,open,9,,reported_amount_unverified,unverified,14,ELIGIBILITY_REVIEW_REQUIRED,79.21,92.21,Fixed-Goal Grant Proposal,grant,GitHub Grant Issues,https://github.com/FreeCAD/FPA-grant-proposals/issues/104,5000.0,EUR,GitHub Sponsors,baixa,8.0,baixo,UNKNOWN_REVIEW_REQUIRED,,0,0,actionable,"Preparar candidatura, proposta ou prova de conceito.","Link ativo, recompensa explícita e baixo risco identificado.",2026-08-26T16:36:19.715097+00:00,
20,BLOCKED_REWARD_CONTEXT_FALSE_POSITIVE,O valor encontrado não aparece em contexto explícito de prêmio/pagamento.,open,8,,reported_amount_unverified,unverified,15,ELIGIBILITY_REVIEW_REQUIRED,80.55,92.05,Approval: create Stripe Payment Links for paid audits,ai_integration,MCP Paid Opportunities,https://github.com/Davidleeops/mcpscan/issues/3,3500.0,USD,"Stripe, GitHub Sponsors",baixa,8.0,baixo,UNKNOWN_REVIEW_REQUIRED,,0,0,actionable,"Preparar candidatura, proposta ou prova de conceito.","Link ativo, recompensa explícita e baixo risco identificado.",2026-07-15T14:35:14.657370+00:00,
21,BLOCKED_STALE_COMPETITION,Competição antiga com anúncio de vencedor já previsto.,open,7,,reported_amount_unverified,unverified,16,ELIGIBILITY_REVIEW_REQUIRED,81.7,91.95,Data Analytics Bounty,crypto_bounty,Crypto Bounties,https://github.com/Honest-Protocol/Gitcoin_Metamorphosis/issues/3,2250.0,USD,"USDC, GitHub Sponsors",baixa,8.0,baixo,UNKNOWN_REVIEW_REQUIRED,,0,1,approval_required,Revisar requisitos e autorizar a preparação.,"A oportunidade é promissora, mas exige ação humana sensível.",2026-08-26T14:01:44.206943+00:00,
22,ACTIVE_WORK_CONFIRMATION_REQUIRED,Há 1 PR(s) concorrente(s) relacionado(s) (#9379); confirmar disponibilidade antes de desenvolver.,open,64,1,reported_amount_unverified,unverified,17,ELIGIBILITY_REVIEW_REQUIRED,80.95,89.95,Calculate the exact value of PI,open_source_bounty,GitHub Bounty Issues,https://github.com/xevrion-v2/agent-playground/issues/17,1000.0,USD,GitHub Sponsors,baixa,8.0,baixo,UNKNOWN_REVIEW_REQUIRED,,0,0,actionable,Confirmar com o mantenedor se novas submissões ainda são aceitas antes de qualquer trabalho.,"Link ativo, recompensa explícita e baixo risco identificado.",2026-07-15T14:35:12.991640+00:00,
23,ACTIVE_WORK_CONFIRMATION_REQUIRED,Há 1 PR(s) concorrente(s) relacionado(s) (#614); confirmar disponibilidade antes de desenvolver.,open,13,1,reported_amount_unverified,unverified,18,ELIGIBILITY_REVIEW_REQUIRED,76.45,84.95,Kendraio App MusicBrainz integration (bounty),open_source_bounty,GitHub Bounty Issues,https://github.com/kendraio/kendraio-app/issues/184,500.0,USD,GitHub Sponsors,baixa,8.0,baixo,UNKNOWN_REVIEW_REQUIRED,,0,0,actionable,Confirmar com o mantenedor se novas submissões ainda são aceitas antes de qualquer trabalho.,"Link ativo, recompensa explícita e baixo risco identificado.",2026-08-26T17:06:54.557648+00:00,
24,BLOCKED_CLOSED_OR_COMPLETED,A API do GitHub informa que a oportunidade não está aberta.,closed,314,,reported_amount_unverified,unverified,19,ELIGIBILITY_REVIEW_REQUIRED,76.85,84.95,[BOUNTY $100] 🐜The Memanto Bug & Exploit Challenge,ai_bounty,AI Agent Bounties,https://github.com/moorcheh-ai/memanto/issues/770,100.0,USD,GitHub Sponsors,média,30.0,baixo,UNKNOWN_REVIEW_REQUIRED,,0,0,actionable,"Preparar candidatura, proposta ou prova de conceito.","Link ativo, recompensa explícita e baixo risco identificado.",2026-07-15T14:34:51.132248+00:00,
25,BLOCKED_HIGH_COMPETITION,"Há 14 PRs concorrentes relacionados (incluindo #744, #726, #706, #697, #687); não investir trabalho nesta oportunidade saturada.",open,340,14,reported_amount_unverified,unverified,20,ELIGIBILITY_REVIEW_REQUIRED,76.05,84.33,[BOUNTY $200] Testing — 自动化测试套件,open_source_bounty,GitHub Bounty Issues,https://github.com/illbnm/homelab-stack/issues/14,280.0,USD,"USDT, GitHub Sponsors",baixa,8.0,baixo,UNKNOWN_REVIEW_REQUIRED,,0,1,approval_required,Não iniciar. Arquivar e priorizar oportunidade com concorrência baixa.,"A oportunidade é promissora, mas exige ação humana sensível.",2026-08-26T14:01:56.344996+00:00,
26,BLOCKED_CLOSED_OR_COMPLETED,A API do GitHub informa que a oportunidade não está aberta.,closed,314,,reported_amount_unverified,unverified,21,ELIGIBILITY_REVIEW_REQUIRED,75.9,84.0,[BOUNTY $100] 🐜The Memanto Bug & Exploit Challenge,open_source_bounty,GitHub Paid Issues,https://github.com/moorcheh-ai/memanto/issues/770,100.0,USD,GitHub Sponsors,média,30.0,baixo,UNKNOWN_REVIEW_REQUIRED,,0,0,actionable,"Preparar candidatura, proposta ou prova de conceito.","Link ativo, recompensa explícita e baixo risco identificado.",2026-08-27T12:27:30.716458+00:00,
27,AUTHORIZED_BUG_BOUNTY_REVIEW_REQUIRED,"Programa oficial identificado; revisar escopo, PoC, ativos e impactos elegíveis antes de qualquer teste exclusivamente local.",official_program,0,,maximum_advertised_reward,official_adapter,54,IDENTITY_REVIEW_REQUIRED,75.75,83.9,Zest Protocol V2,authorized_bug_bounty,Immunefi,https://immunefi.com/bug-bounty/zest-protocol-v2/information/,100000.0,USD,USDC,média,30.0,baixo,UNKNOWN_REVIEW_REQUIRED,Eligibility: Authorized program; inspect scope before testing,0,1,approval_required,Revisar requisitos e autorizar a preparação.,"A oportunidade é promissora, mas exige ação humana sensível.",2026-08-27T12:27:38.367093+00:00,specialist_only
28,LIVE_CHECK_RETRY_REQUIRED,Falha temporária na validação ao vivo: HTTPError.,unknown,0,,reported_amount_unverified,unverified,22,ELIGIBILITY_REVIEW_REQUIRED,75.45,83.6,🎯 Bounty Alert: 31 New Opportunities — 2026-07-15 03:21 UTC,ai_bounty,AI Agent Bounties,https://github.com/greyw0rks/bountyscout/issues/265,150.0,USD,GitHub Sponsors,baixa,8.0,baixo,UNKNOWN_REVIEW_REQUIRED,,0,0,actionable,"Preparar candidatura, proposta ou prova de conceito.","Link ativo, recompensa explícita e baixo risco identificado.",2026-07-15T14:35:20.460486+00:00,
29,BLOCKED_CLOSED_OR_COMPLETED,A API do GitHub informa que a oportunidade não está aberta.,closed,6,,reported_amount_unverified,unverified,23,ELIGIBILITY_REVIEW_REQUIRED,75.17,83.3,Support actual payment amount confirmation and rate-shift tracking for foreign scheduled expenses,paid_development,GitHub Paid Issues,https://github.com/pedrazamiguez/split-trip/issues/1400,130.74,EUR,GitHub Sponsors,baixa,8.0,baixo,UNKNOWN_REVIEW_REQUIRED,,0,0,actionable,"Preparar candidatura, proposta ou prova de conceito.","Link ativo, recompensa explícita e baixo risco identificado.",2026-07-15T14:35:24.022895+00:00,
30,BLOCKED_REWARD_CONTEXT_FALSE_POSITIVE,O valor encontrado não aparece em contexto explícito de prêmio/pagamento.,open,0,,reported_amount_unverified,unverified,24,ELIGIBILITY_REVIEW_REQUIRED,74.69,83.19,"monte_carlo_layer_means default seed makes a small-n draw an exact prefix of a large-n draw, and the compare_against_monte_carlo MSE column is easy to misread",competition,GitHub Prize Issues,https://github.com/AIcrowd/whest-starterkit/issues/39,500.0,USD,GitHub Sponsors,baixa,8.0,baixo,UNKNOWN_REVIEW_REQUIRED,,0,0,actionable,"Preparar candidatura, proposta ou prova de conceito.","Link ativo, recompensa explícita e baixo risco identificado.",2026-08-26T17:32:33.495462+00:00,
31,SOURCE_REVIEW_REQUIRED,Fonte externa ainda exige validação específica da plataforma.,external_source,0,,reported_amount_unverified,unverified,25,ELIGIBILITY_REVIEW_REQUIRED,79.66,82.96,VoltHacks,hackathon,Devpost Hackathons,https://volthacks.devpost.com/,300.0,USD,,média,30.0,baixo,UNKNOWN_REVIEW_REQUIRED,,0,0,actionable,"Preparar candidatura, proposta ou prova de conceito.","Link ativo, recompensa explícita e baixo risco identificado.",2026-08-27T12:31:57.976861+00:00,
32,BLOCKED_HIGH_COMPETITION,"Há 43 PRs concorrentes relacionados (incluindo #1934, #1931, #1928, #1924, #1923); não investir trabalho nesta oportunidade saturada.",open,49,43,reported_amount_unverified,unverified,26,ELIGIBILITY_REVIEW_REQUIRED,74.35,82.55,[BOUNTY $200] 🐜 The Great Memory Migration: Own Your Agentic Memory with Memanto + OKF,competition,GitHub Prize Issues,https://github.com/moorcheh-ai/memanto/issues/1609,200.0,USD,GitHub Sponsors,baixa,8.0,baixo,UNKNOWN_REVIEW_REQUIRED,,0,0,actionable,Não iniciar. Arquivar e priorizar oportunidade com concorrência baixa.,"Link ativo, recompensa explícita e baixo risco identificado.",2026-08-26T14:02:34.855901+00:00,
33,BLOCKED_CLOSED_OR_COMPLETED,A API do GitHub informa que a oportunidade não está aberta.,closed,17,,reported_amount_unverified,unverified,27,ELIGIBILITY_REVIEW_REQUIRED,71.85,79.85,[0.10 USDC autonomous meta-bounty] Post a funded agent-tooling bounty completed by another wallet,open_source_bounty,GitHub Bounty Issues,https://github.com/NSPG13/agent-bounties/issues/273,0.11,USD,"USDC, GitHub Sponsors",baixa,8.0,baixo,UNKNOWN_REVIEW_REQUIRED,eligibility 1,0,1,approval_required,Revisar requisitos e autorizar a preparação.,"A oportunidade é promissora, mas exige ação humana sensível.",2026-07-15T14:34:48.757641+00:00,
34,BLOCKED_CLOSED_OR_COMPLETED,A API do GitHub informa que a oportunidade não está aberta.,closed,14,,reported_amount_unverified,unverified,28,ELIGIBILITY_REVIEW_REQUIRED,71.85,79.85,[0.10 USDC autonomous meta-bounty] Create a paid coding-bounty loop,open_source_bounty,GitHub Bounty Issues,https://github.com/NSPG13/agent-bounties/issues/274,0.11,USD,"USDC, GitHub Sponsors",baixa,8.0,baixo,UNKNOWN_REVIEW_REQUIRED,eligibility 1,0,1,approval_required,Revisar requisitos e autorizar a preparação.,"A oportunidade é promissora, mas exige ação humana sensível.",2026-07-15T14:34:46.711221+00:00,
35,BLOCKED_CLOSED_OR_COMPLETED,A API do GitHub informa que a oportunidade não está aberta.,closed,19,,reported_amount_unverified,unverified,29,ELIGIBILITY_REVIEW_REQUIRED,71.85,79.85,[0.10 USDC autonomous bounty] Complete a wallet claim-to-payout canary,ai_integration,MCP Paid Opportunities,https://github.com/NSPG13/agent-bounties/issues/275,0.11,USD,"USDC, GitHub Sponsors",baixa,8.0,baixo,UNKNOWN_REVIEW_REQUIRED,eligibility 1,0,1,approval_required,Revisar requisitos e autorizar a preparação.,"A oportunidade é promissora, mas exige ação humana sensível.",2026-07-15T14:34:44.757351+00:00,
36,BLOCKED_CLOSED_OR_COMPLETED,A API do GitHub informa que a oportunidade não está aberta.,closed,18,,reported_amount_unverified,unverified,30,ELIGIBILITY_REVIEW_REQUIRED,71.85,79.85,[0.10 USDC autonomous bounty] Complete an MCP-discovered claim-to-payout canary,ai_integration,MCP Paid Opportunities,https://github.com/NSPG13/agent-bounties/issues/276,0.11,USD,"USDC, GitHub Sponsors",baixa,8.0,baixo,UNKNOWN_REVIEW_REQUIRED,eligibility 1,0,1,approval_required,Revisar requisitos e autorizar a preparação.,"A oportunidade é promissora, mas exige ação humana sensível.",2026-07-15T14:34:42.648196+00:00,
37,BLOCKED_CLOSED_OR_COMPLETED,A API do GitHub informa que a oportunidade não está aberta.,closed,28,,reported_amount_unverified,unverified,31,ELIGIBILITY_REVIEW_REQUIRED,71.85,79.85,[0.10 USDC autonomous bounty] Complete an agent-skill claim-to-payout canary,ai_integration,MCP Paid Opportunities,https://github.com/NSPG13/agent-bounties/issues/277,0.11,USD,"USDC, GitHub Sponsors",baixa,8.0,baixo,UNKNOWN_REVIEW_REQUIRED,eligibility 1,0,1,approval_required,Revisar requisitos e autorizar a preparação.,"A oportunidade é promissora, mas exige ação humana sensível.",2026-07-15T14:34:40.414258+00:00,
38,BLOCKED_NOT_A_PAID_TASK,"A issue descreve uma meta interna de receita, não uma oferta de trabalho paga.",open,0,,reported_amount_unverified,unverified,55,IDENTITY_REVIEW_REQUIRED,71.7,79.71,P1 — First verified revenue: USD 10+,ai_bounty,AI Agent Bounties,https://github.com/jadeldiaz01-png/AUREUS-2026-Autonomous-Universal-Revenue-Efficient-Utility-Scheduler/issues/2,10.0,USD,GitHub Sponsors,baixa,8.0,baixo,UNKNOWN_REVIEW_REQUIRED,eligibility/onboarding is complete,1,1,approval_required,Revisar requisitos e autorizar a preparação.,"A oportunidade é promissora, mas exige ação humana sensível.",2026-08-26T14:01:46.105647+00:00,
39,BLOCKED_CLOSED_OR_COMPLETED,A API do GitHub informa que a oportunidade não está aberta.,closed,39,,reported_amount_unverified,unverified,32,ELIGIBILITY_REVIEW_REQUIRED,71.7,79.7,[2 USDC autonomous bounty] Complete an independent-relayer paid loop,ai_integration,MCP Paid Opportunities,https://github.com/NSPG13/agent-bounties/issues/250,2.01,USD,"USDC, GitHub Sponsors",baixa,8.0,baixo,UNKNOWN_REVIEW_REQUIRED,eligibility and payment,0,1,approval_required,Revisar requisitos e autorizar a preparação.,"A oportunidade é promissora, mas exige ação humana sensível.",2026-07-15T14:34:54.961113+00:00,
40,BLOCKED_CLOSED_OR_COMPLETED,A API do GitHub informa que a oportunidade não está aberta.,closed,18,,reported_amount_unverified,unverified,33,ELIGIBILITY_REVIEW_REQUIRED,71.7,79.7,[UNFUNDED: 0/2.01 USDC] Complete a machine-API paid loop,ai_integration,MCP Paid Opportunities,https://github.com/NSPG13/agent-bounties/issues/249,2.01,USD,"USDC, GitHub Sponsors",baixa,8.0,baixo,UNKNOWN_REVIEW_REQUIRED,eligibility and payment,0,1,approval_required,Revisar requisitos e autorizar a preparação.,"A oportunidade é promissora, mas exige ação humana sensível.",2026-07-15T14:34:53.038722+00:00,
41,BLOCKED_CLOSED_OR_COMPLETED,A API do GitHub informa que a oportunidade não está aberta.,closed,39,,reported_amount_unverified,unverified,34,ELIGIBILITY_REVIEW_REQUIRED,71.7,79.7,[2 USDC autonomous bounty] Complete a browser-wallet paid loop,ai_integration,MCP Paid Opportunities,https://github.com/NSPG13/agent-bounties/issues/248,2.0,USD,"USDC, GitHub Sponsors",baixa,8.0,baixo,UNKNOWN_REVIEW_REQUIRED,eligibility and payment,0,1,approval_required,Revisar requisitos e autorizar a preparação.,"A oportunidade é promissora, mas exige ação humana sensível.",2026-07-15T14:34:57.117099+00:00,
