title,organization,url,reward_currency,reward_amount,truth_status,truth_score,payment_probability,probability_band,expected_cash_value,probability_adjusted_value_per_hour,execution_readiness,final_priority,recommended_action,probability_reason
[MASTER] Nashrino 10/10 Production Readiness and World-Class Certification Plan,reza96ah-ship-it/publish,https://github.com/reza96ah-ship-it/publish/issues/160,,,reward_evidence_required,45.0,0.0,very_low,0.0,0.0,85.0,17.0,do_not_execute,Tarefa continua aberta.; Valor de recompensa ausente.; Evidência textual da recompensa ausente.; Promessa de pagamento ainda não confirmada.; Processo de claim ou entrega identificado.; Fonte ainda sem histórico suficiente.
Epic: Foundation v0.1 — signed macOS installer with onboarding canvas,oscharko-dev/Keiko-Native,https://github.com/oscharko-dev/Keiko-Native/issues/9,,,reward_evidence_required,45.0,0.0,very_low,0.0,0.0,85.0,17.0,do_not_execute,Tarefa continua aberta.; Valor de recompensa ausente.; Evidência textual da recompensa ausente.; Promessa de pagamento ainda não confirmada.; Processo de claim ou entrega identificado.; Fonte ainda sem histórico suficiente.
knowledge_rebuild_from_wal leaves entity/relationship search empty until knowledge_build_indices is called,verveguy/liminis-context-graph,https://github.com/verveguy/liminis-context-graph/issues/192,,,reward_evidence_required,45.0,0.0,very_low,0.0,0.0,83.25,16.65,do_not_execute,Tarefa continua aberta.; Valor de recompensa ausente.; Evidência textual da recompensa ausente.; Promessa de pagamento ainda não confirmada.; Processo de claim ou entrega identificado.; Fonte ainda sem histórico suficiente.
Task 16 — Admin order management UI (16a/16b/16c),jampissarandev/Mini-E-Commerce-Platform,https://github.com/jampissarandev/Mini-E-Commerce-Platform/issues/10,,,reward_evidence_required,45.0,0.0,very_low,0.0,0.0,83.25,16.65,do_not_execute,Tarefa continua aberta.; Valor de recompensa ausente.; Evidência textual da recompensa ausente.; Promessa de pagamento ainda não confirmada.; Processo de claim ou entrega identificado.; Fonte ainda sem histórico suficiente.
"[GoodBounty]: Finalize GovernanceWidget functionality membership lifecycle, runtime QA, and UI/UX structure",GoodDollar/GoodWidget,https://github.com/GoodDollar/GoodWidget/issues/80,,,reward_evidence_required,50.0,0.0,very_low,0.0,0.0,83.25,16.65,do_not_execute,Tarefa continua aberta.; Valor de recompensa ausente.; Evidência textual da recompensa ausente.; Promessa explícita de pagamento encontrada.; Processo de claim ainda precisa ser confirmado.; Fonte ainda sem histórico suficiente.
Roadmap: v30.1.1 core safety and hardening release,Blackcoin-Dev/Blackcoin,https://github.com/Blackcoin-Dev/Blackcoin/issues/8,,,rejected_non_execution,0.0,0.0,very_low,0.0,0.0,83.25,16.65,do_not_execute,Tarefa continua aberta.; Valor de recompensa ausente.; Evidência textual da recompensa ausente.; Promessa explícita de pagamento encontrada.; Processo de claim ainda precisa ser confirmado.; Fonte ainda sem histórico suficiente.; Registro não executável.
Feature: Add Interactive Dashboard UI for Job Review in Assessment Workflow,pluto-atom-4/ats-showcase,https://github.com/pluto-atom-4/ats-showcase/issues/137,,,reward_evidence_required,45.0,0.0,very_low,0.0,0.0,83.25,16.65,do_not_execute,Tarefa continua aberta.; Valor de recompensa ausente.; Evidência textual da recompensa ausente.; Promessa de pagamento ainda não confirmada.; Processo de claim ou entrega identificado.; Fonte ainda sem histórico suficiente.
Add conversation transcript ingestion and provenance-backed memory extraction,dwovitz/memory-mcp,https://github.com/dwovitz/memory-mcp/issues/16,,,rejected_unavailable,0.0,0.0,very_low,0.0,0.0,83.25,16.65,do_not_execute,Tarefa não está confirmada como aberta.; Valor de recompensa ausente.; Evidência textual da recompensa ausente.; Promessa de pagamento ainda não confirmada.; Processo de claim ou entrega identificado.; Fonte ainda sem histórico suficiente.; Oportunidade indisponível.
[Bug bounty] monk-agent launcher routes localhost health checks through configured proxy,monk-io/monk-plugin,https://github.com/monk-io/monk-plugin/issues/8,,,reward_evidence_required,50.0,0.0,very_low,0.0,0.0,81.5,16.3,do_not_execute,Tarefa continua aberta.; Valor de recompensa ausente.; Evidência textual da recompensa ausente.; Promessa explícita de pagamento encontrada.; Processo de claim ainda precisa ser confirmado.; Fonte ainda sem histórico suficiente.
"[TASK] Add paid-acquisition transition, cap, refund, and dispute invariants",Plasius-LTD/economy,https://github.com/Plasius-LTD/economy/issues/6,,,reward_evidence_required,45.0,0.0,very_low,0.0,0.0,80.45,16.09,do_not_execute,Tarefa continua aberta.; Valor de recompensa ausente.; Evidência textual da recompensa ausente.; Promessa de pagamento ainda não confirmada.; Processo de claim ou entrega identificado.; Fonte ainda sem histórico suficiente.
[Q-CONTROL-PLANE-PR-BODY-PROFILES-01] Canonicalize repository-aware PR body templates,2tbmz9y2xt-lang/rubin-protocol,https://github.com/2tbmz9y2xt-lang/rubin-protocol/issues/2503,,,reward_evidence_required,30.0,0.0,very_low,0.0,0.0,70.0,14.0,do_not_execute,Tarefa continua aberta.; Valor de recompensa ausente.; Evidência textual da recompensa ausente.; Promessa de pagamento ainda não confirmada.; Processo de claim ainda precisa ser confirmado.; Fonte ainda sem histórico suficiente.
nert: Curated Access to TERN Environmental Raster Data,ropensci/software-review,https://github.com/ropensci/software-review/issues/785,,,reward_evidence_required,30.0,0.0,very_low,0.0,0.0,70.0,14.0,do_not_execute,Tarefa continua aberta.; Valor de recompensa ausente.; Evidência textual da recompensa ausente.; Promessa de pagamento ainda não confirmada.; Processo de claim ainda precisa ser confirmado.; Fonte ainda sem histórico suficiente.
Windows sandbox helper not found in Codex CLI 0.138.0; regression from 0.132.0,openai/codex,https://github.com/openai/codex/issues/27125,,,reward_evidence_required,30.0,0.0,very_low,0.0,0.0,70.0,14.0,do_not_execute,Tarefa continua aberta.; Valor de recompensa ausente.; Evidência textual da recompensa ausente.; Promessa de pagamento ainda não confirmada.; Processo de claim ainda precisa ser confirmado.; Fonte ainda sem histórico suficiente.
Sprint: TCOIN production launch readiness,GreenPill-TO/Genero,https://github.com/GreenPill-TO/Genero/issues/78,,,reward_evidence_required,30.0,0.0,very_low,0.0,0.0,70.0,14.0,do_not_execute,Tarefa continua aberta.; Valor de recompensa ausente.; Evidência textual da recompensa ausente.; Promessa de pagamento ainda não confirmada.; Processo de claim ainda precisa ser confirmado.; Fonte ainda sem histórico suficiente.
"Database Index Coverage, Query Performance & Cache-Stampede Surface in a Rails 8 Web3 Payment Platform",baizhiheizi/quill,https://github.com/baizhiheizi/quill/issues/1911,,,reward_evidence_required,30.0,0.0,very_low,0.0,0.0,70.0,14.0,do_not_execute,Tarefa continua aberta.; Valor de recompensa ausente.; Evidência textual da recompensa ausente.; Promessa de pagamento ainda não confirmada.; Processo de claim ainda precisa ser confirmado.; Fonte ainda sem histórico suficiente.
Codex Desktop automation_update can false-succeed without owner-host persistence or readback,openai/codex,https://github.com/openai/codex/issues/33527,,,reward_evidence_required,30.0,0.0,very_low,0.0,0.0,70.0,14.0,do_not_execute,Tarefa continua aberta.; Valor de recompensa ausente.; Evidência textual da recompensa ausente.; Promessa de pagamento ainda não confirmada.; Processo de claim ainda precisa ser confirmado.; Fonte ainda sem histórico suficiente.
📊 AI CLI Tools Digest 2026-07-15,Chestnuts-0/os-feed,https://github.com/Chestnuts-0/os-feed/issues/450,,,rejected_non_execution,0.0,0.0,very_low,0.0,0.0,70.0,14.0,do_not_execute,Tarefa continua aberta.; Valor de recompensa ausente.; Evidência textual da recompensa ausente.; Promessa de pagamento ainda não confirmada.; Processo de claim ainda precisa ser confirmado.; Fonte ainda sem histórico suficiente.; Registro não executável.
Add Engagement Triggered Automation,genfeedai/genfeed.ai,https://github.com/genfeedai/genfeed.ai/issues/1170,,,reward_evidence_required,30.0,0.0,very_low,0.0,0.0,70.0,14.0,do_not_execute,Tarefa continua aberta.; Valor de recompensa ausente.; Evidência textual da recompensa ausente.; Promessa de pagamento ainda não confirmada.; Processo de claim ainda precisa ser confirmado.; Fonte ainda sem histórico suficiente.
"Subagent recovery after MAX_TURNS is reported as GOAL success, hiding interruption",google-gemini/gemini-cli,https://github.com/google-gemini/gemini-cli/issues/22323,,,reward_evidence_required,30.0,0.0,very_low,0.0,0.0,70.0,14.0,do_not_execute,Tarefa continua aberta.; Valor de recompensa ausente.; Evidência textual da recompensa ausente.; Promessa de pagamento ainda não confirmada.; Processo de claim ainda precisa ser confirmado.; Fonte ainda sem histórico suficiente.
Dependency Dashboard,yusuke0610/devforge,https://github.com/yusuke0610/devforge/issues/339,,,rejected_non_execution,0.0,0.0,very_low,0.0,0.0,68.25,13.65,do_not_execute,Tarefa continua aberta.; Valor de recompensa ausente.; Evidência textual da recompensa ausente.; Promessa de pagamento ainda não confirmada.; Processo de claim ainda precisa ser confirmado.; Fonte ainda sem histórico suficiente.; Registro não executável.
Panel Detachment Feature Request,kirodotdev/Kiro,https://github.com/kirodotdev/Kiro/issues/721,,,rejected_non_execution,0.0,0.0,very_low,0.0,0.0,68.25,13.65,do_not_execute,Tarefa não está confirmada como aberta.; Valor de recompensa ausente.; Evidência textual da recompensa ausente.; Promessa de pagamento ainda não confirmada.; Processo de claim ainda precisa ser confirmado.; Fonte ainda sem histórico suficiente.; Registro não executável.; Oportunidade indisponível.
Renovate Dashboard 🤖,drag0n141/home-ops,https://github.com/drag0n141/home-ops/issues/30,,,rejected_non_execution,0.0,0.0,very_low,0.0,0.0,68.25,13.65,do_not_execute,Tarefa continua aberta.; Valor de recompensa ausente.; Evidência textual da recompensa ausente.; Promessa de pagamento ainda não confirmada.; Processo de claim ainda precisa ser confirmado.; Fonte ainda sem histórico suficiente.; Registro não executável.
Renovate Dashboard 🤖,mrdynamo/home-ops,https://github.com/mrdynamo/home-ops/issues/1286,,,rejected_non_execution,0.0,0.0,very_low,0.0,0.0,68.25,13.65,do_not_execute,Tarefa continua aberta.; Valor de recompensa ausente.; Evidência textual da recompensa ausente.; Promessa de pagamento ainda não confirmada.; Processo de claim ainda precisa ser confirmado.; Fonte ainda sem histórico suficiente.; Registro não executável.
Renovate Dashboard 🤖,tosih/home-ops,https://github.com/tosih/home-ops/issues/121,,,rejected_non_execution,0.0,0.0,very_low,0.0,0.0,68.25,13.65,do_not_execute,Tarefa continua aberta.; Valor de recompensa ausente.; Evidência textual da recompensa ausente.; Promessa de pagamento ainda não confirmada.; Processo de claim ainda precisa ser confirmado.; Fonte ainda sem histórico suficiente.; Registro não executável.
[RFC] First-class support and reference implementation for out-of-tree backends,pytorch/executorch,https://github.com/pytorch/executorch/issues/20975,,,rejected_non_execution,0.0,0.0,very_low,0.0,0.0,68.25,13.65,do_not_execute,Tarefa continua aberta.; Valor de recompensa ausente.; Evidência textual da recompensa ausente.; Promessa de pagamento ainda não confirmada.; Processo de claim ainda precisa ser confirmado.; Fonte ainda sem histórico suficiente.; Registro não executável.
BUG-684 P1: QE dual GPU training freezes Windows desktop because WSL cron still polls nvidia-smi,licong01-cloud/AIstock,https://github.com/licong01-cloud/AIstock/issues/2244,,,rejected_unavailable,0.0,0.0,very_low,0.0,0.0,68.25,13.65,do_not_execute,Tarefa não está confirmada como aberta.; Valor de recompensa ausente.; Evidência textual da recompensa ausente.; Promessa de pagamento ainda não confirmada.; Processo de claim ainda precisa ser confirmado.; Fonte ainda sem histórico suficiente.; Oportunidade indisponível.
MCP `factor_analysis` always fails with `KeyError: 'factor_csv'` — wrapper and registered tool have mismatched contracts,HKUDS/Vibe-Trading,https://github.com/HKUDS/Vibe-Trading/issues/635,,,reward_evidence_required,30.0,0.0,very_low,0.0,0.0,68.25,13.65,do_not_execute,Tarefa continua aberta.; Valor de recompensa ausente.; Evidência textual da recompensa ausente.; Promessa de pagamento ainda não confirmada.; Processo de claim ainda precisa ser confirmado.; Fonte ainda sem histórico suficiente.
Renovate Dependency Dashboard,lyzetam/fako-cluster,https://github.com/lyzetam/fako-cluster/issues/89,,,rejected_non_execution,0.0,0.0,very_low,0.0,0.0,68.25,13.65,do_not_execute,Tarefa continua aberta.; Valor de recompensa ausente.; Evidência textual da recompensa ausente.; Promessa de pagamento ainda não confirmada.; Processo de claim ainda precisa ser confirmado.; Fonte ainda sem histórico suficiente.; Registro não executável.
Renovate Dashboard 🤖,GeckoSplinter/home-ops,https://github.com/GeckoSplinter/home-ops/issues/1,,,rejected_non_execution,0.0,0.0,very_low,0.0,0.0,68.25,13.65,do_not_execute,Tarefa continua aberta.; Valor de recompensa ausente.; Evidência textual da recompensa ausente.; Promessa de pagamento ainda não confirmada.; Processo de claim ainda precisa ser confirmado.; Fonte ainda sem histórico suficiente.; Registro não executável.
Dependency Dashboard,agross/ansible-home-network,https://github.com/agross/ansible-home-network/issues/9,,,rejected_non_execution,0.0,0.0,very_low,0.0,0.0,68.25,13.65,do_not_execute,Tarefa continua aberta.; Valor de recompensa ausente.; Evidência textual da recompensa ausente.; Promessa de pagamento ainda não confirmada.; Processo de claim ainda precisa ser confirmado.; Fonte ainda sem histórico suficiente.; Registro não executável.
"docs: restructure CLAUDE.md — slim always-loaded core, extract conventions, add path-scoped rules",midnightntwrk/midnight-wallet,https://github.com/midnightntwrk/midnight-wallet/issues/576,,,reward_evidence_required,30.0,0.0,very_low,0.0,0.0,68.25,13.65,do_not_execute,Tarefa continua aberta.; Valor de recompensa ausente.; Evidência textual da recompensa ausente.; Promessa de pagamento ainda não confirmada.; Processo de claim ainda precisa ser confirmado.; Fonte ainda sem histórico suficiente.
🤗 Hugging Face Trending Models 2026-07-16,THTHDGCS/agents-radar,https://github.com/THTHDGCS/agents-radar/issues/160,,,reward_evidence_required,30.0,0.0,very_low,0.0,0.0,68.25,13.65,do_not_execute,Tarefa continua aberta.; Valor de recompensa ausente.; Evidência textual da recompensa ausente.; Promessa de pagamento ainda não confirmada.; Processo de claim ainda precisa ser confirmado.; Fonte ainda sem histórico suficiente.
🚨 Zero Day Pulse — Active Vulnerability Tracker,peleduri/zero-day-pulse,https://github.com/peleduri/zero-day-pulse/issues/7,,,reward_evidence_required,30.0,0.0,very_low,0.0,0.0,68.25,13.65,do_not_execute,Tarefa continua aberta.; Valor de recompensa ausente.; Evidência textual da recompensa ausente.; Promessa de pagamento ainda não confirmada.; Processo de claim ainda precisa ser confirmado.; Fonte ainda sem histórico suficiente.
agpt-0.5.0: 85 vulnerabilities (highest severity is: 9.5),rsoreq/AutoGPT,https://github.com/rsoreq/AutoGPT/issues/215,,,reward_evidence_required,30.0,0.0,very_low,0.0,0.0,68.25,13.65,do_not_execute,Tarefa continua aberta.; Valor de recompensa ausente.; Evidência textual da recompensa ausente.; Promessa de pagamento ainda não confirmada.; Processo de claim ainda precisa ser confirmado.; Fonte ainda sem histórico suficiente.
autogpt-forge-0.2.0: 39 vulnerabilities (highest severity is: 9.5),rsoreq/AutoGPT,https://github.com/rsoreq/AutoGPT/issues/214,,,reward_evidence_required,30.0,0.0,very_low,0.0,0.0,68.25,13.65,do_not_execute,Tarefa continua aberta.; Valor de recompensa ausente.; Evidência textual da recompensa ausente.; Promessa de pagamento ainda não confirmada.; Processo de claim ainda precisa ser confirmado.; Fonte ainda sem histórico suficiente.
litellm-1.49.0-py3-none-any.whl: 23 vulnerabilities (highest severity is: 10.0),AReid987/stellarAgent,https://github.com/AReid987/stellarAgent/issues/150,,,reward_evidence_required,30.0,0.0,very_low,0.0,0.0,68.25,13.65,do_not_execute,Tarefa continua aberta.; Valor de recompensa ausente.; Evidência textual da recompensa ausente.; Promessa de pagamento ainda não confirmada.; Processo de claim ainda precisa ser confirmado.; Fonte ainda sem histórico suficiente.
crewai-0.102.0-py3-none-any.whl: 17 vulnerabilities (highest severity is: 9.5) unreachable,rsoreq/amazon-bedrock-workshop,https://github.com/rsoreq/amazon-bedrock-workshop/issues/51,,,reward_evidence_required,30.0,0.0,very_low,0.0,0.0,68.25,13.65,do_not_execute,Tarefa continua aberta.; Valor de recompensa ausente.; Evidência textual da recompensa ausente.; Promessa de pagamento ainda não confirmada.; Processo de claim ainda precisa ser confirmado.; Fonte ainda sem histórico suficiente.
transformers-4.49.0-py3-none-any.whl: 22 vulnerabilities (highest severity is: 8.8) unreachable,rsoreq/amazon-bedrock-workshop,https://github.com/rsoreq/amazon-bedrock-workshop/issues/5,,,reward_evidence_required,30.0,0.0,very_low,0.0,0.0,68.25,13.65,do_not_execute,Tarefa continua aberta.; Valor de recompensa ausente.; Evidência textual da recompensa ausente.; Promessa de pagamento ainda não confirmada.; Processo de claim ainda precisa ser confirmado.; Fonte ainda sem histórico suficiente.
litellm-1.17.9-py3-none-any.whl: 29 vulnerabilities (highest severity is: 10.0),RonenSdemocorp-mend/AutoGPT,https://github.com/RonenSdemocorp-mend/AutoGPT/issues/18,,,reward_evidence_required,30.0,0.0,very_low,0.0,0.0,68.25,13.65,do_not_execute,Tarefa continua aberta.; Valor de recompensa ausente.; Evidência textual da recompensa ausente.; Promessa de pagamento ainda não confirmada.; Processo de claim ainda precisa ser confirmado.; Fonte ainda sem histórico suficiente.
autogpt-forge-0.2.0: 42 vulnerabilities (highest severity is: 10.0),RonenSdemocorp-mend/AutoGPT,https://github.com/RonenSdemocorp-mend/AutoGPT/issues/22,,,reward_evidence_required,30.0,0.0,very_low,0.0,0.0,68.25,13.65,do_not_execute,Tarefa continua aberta.; Valor de recompensa ausente.; Evidência textual da recompensa ausente.; Promessa de pagamento ainda não confirmada.; Processo de claim ainda precisa ser confirmado.; Fonte ainda sem histórico suficiente.
autogpt-forge-0.2.0: 41 vulnerabilities (highest severity is: 10.0),rsoreq-mend/AutoGPT,https://github.com/rsoreq-mend/AutoGPT/issues/18,,,reward_evidence_required,30.0,0.0,very_low,0.0,0.0,68.25,13.65,do_not_execute,Tarefa continua aberta.; Valor de recompensa ausente.; Evidência textual da recompensa ausente.; Promessa de pagamento ainda não confirmada.; Processo de claim ainda precisa ser confirmado.; Fonte ainda sem histórico suficiente.
litellm-0.7.5-py3-none-any.whl: 30 vulnerabilities (highest severity is: 10.0),Yuliya65/AutoAgents,https://github.com/Yuliya65/AutoAgents/issues/13,,,reward_evidence_required,30.0,0.0,very_low,0.0,0.0,68.25,13.65,do_not_execute,Tarefa continua aberta.; Valor de recompensa ausente.; Evidência textual da recompensa ausente.; Promessa de pagamento ainda não confirmada.; Processo de claim ainda precisa ser confirmado.; Fonte ainda sem histórico suficiente.
transformers-4.30.2-py3-none-any.whl: 29 vulnerabilities (highest severity is: 9.6) reachable,amaybaum-prod/stable-diffusion-webui,https://github.com/amaybaum-prod/stable-diffusion-webui/issues/1,,,reward_evidence_required,30.0,0.0,very_low,0.0,0.0,68.25,13.65,do_not_execute,Tarefa continua aberta.; Valor de recompensa ausente.; Evidência textual da recompensa ausente.; Promessa de pagamento ainda não confirmada.; Processo de claim ainda precisa ser confirmado.; Fonte ainda sem histórico suficiente.
Improve conversational quality,Kayhusk/cadre-ai-chatbot,https://github.com/Kayhusk/cadre-ai-chatbot/issues/11,,,reward_evidence_required,30.0,0.0,very_low,0.0,0.0,68.25,13.65,do_not_execute,Tarefa continua aberta.; Valor de recompensa ausente.; Evidência textual da recompensa ausente.; Promessa de pagamento ainda não confirmada.; Processo de claim ainda precisa ser confirmado.; Fonte ainda sem histórico suficiente.
Redesign receipt layout and add durable Pickup Numbers,ddannyc/table-order,https://github.com/ddannyc/table-order/issues/15,,,reward_evidence_required,30.0,0.0,very_low,0.0,0.0,68.25,13.65,do_not_execute,Tarefa continua aberta.; Valor de recompensa ausente.; Evidência textual da recompensa ausente.; Promessa de pagamento ainda não confirmada.; Processo de claim ainda precisa ser confirmado.; Fonte ainda sem histórico suficiente.
"Epic: Quality-Based Narrative meta-loop (StoryNexus-style storylets, run-fact-driven)",lmorchard/starnet,https://github.com/lmorchard/starnet/issues/315,,,reward_evidence_required,30.0,0.0,very_low,0.0,0.0,68.25,13.65,do_not_execute,Tarefa continua aberta.; Valor de recompensa ausente.; Evidência textual da recompensa ausente.; Promessa de pagamento ainda não confirmada.; Processo de claim ainda precisa ser confirmado.; Fonte ainda sem histórico suficiente.
[Feature]: Background Task Output Distillation + Non-Destructive Recovery,code-yeongyu/oh-my-openagent,https://github.com/code-yeongyu/oh-my-openagent/issues/1734,,,rejected_non_execution,0.0,0.0,very_low,0.0,0.0,68.25,13.65,do_not_execute,Tarefa continua aberta.; Valor de recompensa ausente.; Evidência textual da recompensa ausente.; Promessa de pagamento ainda não confirmada.; Processo de claim ainda precisa ser confirmado.; Fonte ainda sem histórico suficiente.; Registro não executável.
"[BUG] Browser Agent ignores settings.json overrides (e.g., maxTurns)",google-gemini/gemini-cli,https://github.com/google-gemini/gemini-cli/issues/22267,,,reward_evidence_required,30.0,0.0,very_low,0.0,0.0,68.25,13.65,do_not_execute,Tarefa continua aberta.; Valor de recompensa ausente.; Evidência textual da recompensa ausente.; Promessa de pagamento ainda não confirmada.; Processo de claim ainda precisa ser confirmado.; Fonte ainda sem histórico suficiente.
Gemini does not use skills and sub-agents enough,google-gemini/gemini-cli,https://github.com/google-gemini/gemini-cli/issues/21968,,,reward_evidence_required,30.0,0.0,very_low,0.0,0.0,68.25,13.65,do_not_execute,Tarefa continua aberta.; Valor de recompensa ausente.; Evidência textual da recompensa ausente.; Promessa de pagamento ainda não confirmada.; Processo de claim ainda precisa ser confirmado.; Fonte ainda sem histórico suficiente.
Infra: Build and Tag Docker for PR's,google-gemini/gemini-cli,https://github.com/google-gemini/gemini-cli/issues/3716,,,reward_evidence_required,30.0,0.0,very_low,0.0,0.0,68.25,13.65,do_not_execute,Tarefa continua aberta.; Valor de recompensa ausente.; Evidência textual da recompensa ausente.; Promessa de pagamento ainda não confirmada.; Processo de claim ainda precisa ser confirmado.; Fonte ainda sem histórico suficiente.
