"source_name","category","official_url","discovery_method","canonical_payment_source","explicit_executor_payment","payment_fiat","payment_crypto","public_discovery","api_available","rss_available","login_required","global_access","expected_volume","competition_risk","automation_priority","verification_status","adapter_status","notes"
"DrivenData","data_science_competition","https://www.drivendata.org/competitions","public_platform","true","partial","true","false","true","unknown","unknown","true","true","low","high","30","NEEDS_LIVE_VERIFICATION","NOT_BUILT","Competition model."
"Zindi","data_science_competition","https://zindi.africa/competitions","public_platform","true","partial","true","false","true","unknown","unknown","true","partial","medium","high","32","NEEDS_LIVE_VERIFICATION","NOT_BUILT","Competition model."
"Topcoder","software_and_data_challenge","https://www.topcoder.com/challenges","public_platform","true","true","true","false","true","partial","unknown","true","true","medium","high","48","NEEDS_LIVE_VERIFICATION","NOT_BUILT","Prioritize development tasks with clear acceptance and multiple placement awards."
"HeroX","innovation_challenge","https://www.herox.com","public_platform","true","partial","true","false","true","unknown","unknown","partial","true","medium","high","30","NEEDS_LIVE_VERIFICATION","NOT_BUILT","Innovation challenges; reject speculative and winner-only tasks by default."
"Challenge.gov","public_innovation_challenge","https://www.challenge.gov","public_platform","true","partial","true","false","true","unknown","unknown","partial","partial","low","high","25","NEEDS_LIVE_VERIFICATION","NOT_BUILT","Validate nationality and eligibility restrictions."
"Grants.gov","public_grant","https://www.grants.gov","official_api","true","false","true","false","true","true","partial","partial","restricted","high","high","18","VERIFIED_EXISTING_ADAPTER","ACTIVE_PARTIAL","Existing official source; most opportunities require organizations or eligibility review."
"EU Funding and Tenders","public_grant","https://ec.europa.eu/info/funding-tenders/opportunities/portal","public_portal","true","false","true","false","true","unknown","partial","partial","restricted","high","high","18","NEEDS_LIVE_VERIFICATION","NOT_BUILT","Eligibility and organization requirements must be checked before ranking."
"Upwork","freelance_marketplace","https://www.upwork.com","marketplace_search","true","true","true","false","partial","restricted","false","true","true","very_high","high","58","NEEDS_LIVE_VERIFICATION","NOT_BUILT","Do not automate proposals or external commitments."
"Freelancer","freelance_marketplace","https://www.freelancer.com","marketplace_search","true","true","true","partial","partial","partial","false","true","true","very_high","very_high","42","NEEDS_LIVE_VERIFICATION","NOT_BUILT","Require client-payment history and escrow verification."
"Contra","freelance_marketplace","https://contra.com","marketplace_search","true","true","true","false","partial","unknown","unknown","true","true","medium","medium","54","NEEDS_LIVE_VERIFICATION","NOT_BUILT","Verify public listing access and payment protection."
"Outlier","ai_training_work","https://outlier.ai","public_roles","true","true","true","false","partial","false","false","true","partial","high","medium","62","NEEDS_LIVE_VERIFICATION","NOT_BUILT","Human account, qualification and location constraints may apply."
"DataAnnotation","ai_training_work","https://www.dataannotation.tech","public_roles","true","true","true","false","partial","false","false","true","partial","medium","medium","57","NEEDS_LIVE_VERIFICATION","NOT_BUILT","Qualification and country availability must be checked."
"Toloka","microtask_and_ai_data","https://toloka.ai","platform","true","true","true","partial","partial","partial","false","true","partial","high","low","55","NEEDS_LIVE_VERIFICATION","NOT_BUILT","Prioritize tasks above the economic minimum."
