source_name,category,official_url,discovery_method,canonical_payment_source,explicit_executor_payment,payment_fiat,payment_crypto,public_discovery,api_available,rss_available,login_required,global_access,expected_volume,competition_risk,automation_priority,verification_status,adapter_status,notes,source_priority_score,live_health_status,health_detail,last_checked_at,next_action
Devpost,hackathon,https://devpost.com,public_platform,true,partial,true,partial,true,partial,unknown,partial,true,high,high,45,VERIFIED_EXISTING_ADAPTER,ACTIVE_PARTIAL,Existing adapter; prioritize fixed-price sponsor challenges over broad contests.,95.0,REACHABLE,202,2026-07-19T13:12:03.426965+00:00,IMPROVE_EXISTING_ADAPTER
Contra,freelance_marketplace,https://contra.com,marketplace_search,true,true,true,false,partial,unknown,unknown,true,true,medium,medium,54,NEEDS_LIVE_VERIFICATION,NOT_BUILT,Verify public listing access and payment protection.,95.0,REACHABLE,200,2026-07-19T13:12:13.583186+00:00,VERIFY_THEN_BUILD
Code4rena,smart_contract_audit,https://code4rena.com,public_contest_directory,true,true,false,true,true,unknown,unknown,true,true,medium,high,50,NEEDS_LIVE_VERIFICATION,NOT_BUILT,Contest model; score below direct fixed-price work.,93.0,REACHABLE,200,2026-07-19T13:12:04.415791+00:00,VERIFY_THEN_BUILD
Sherlock,smart_contract_audit,https://sherlock.xyz,public_contest_directory,true,true,false,true,true,unknown,unknown,true,true,medium,high,50,NEEDS_LIVE_VERIFICATION,NOT_BUILT,Contest model; dedicated security feasibility gate required.,93.0,REACHABLE,200,2026-07-19T13:12:04.793725+00:00,VERIFY_THEN_BUILD
DataAnnotation,ai_training_work,https://www.dataannotation.tech,public_roles,true,true,true,false,partial,false,false,true,partial,medium,medium,57,NEEDS_LIVE_VERIFICATION,NOT_BUILT,Qualification and country availability must be checked.,90.0,REACHABLE,200,2026-07-19T13:12:13.773158+00:00,VERIFY_THEN_BUILD
Cantina,smart_contract_security,https://cantina.xyz,public_platform,true,true,partial,true,partial,unknown,unknown,true,true,medium,high,52,NEEDS_LIVE_VERIFICATION,NOT_BUILT,Separate competitions from direct engagements.,85.0,REACHABLE,200,2026-07-19T13:12:05.326632+00:00,BACKLOG
Freelancer,freelance_marketplace,https://www.freelancer.com,marketplace_search,true,true,true,partial,partial,partial,false,true,true,very_high,very_high,42,NEEDS_LIVE_VERIFICATION,NOT_BUILT,Require client-payment history and escrow verification.,80.0,REACHABLE,200,2026-07-19T13:12:12.874311+00:00,BACKLOG
Grants.gov,public_grant,https://www.grants.gov,official_api,true,false,true,false,true,true,partial,partial,restricted,high,high,18,VERIFIED_EXISTING_ADAPTER,ACTIVE_PARTIAL,Existing official source; most opportunities require organizations or eligibility review.,66.0,UNCONFIRMED,URLError,2026-07-19T13:12:11.414567+00:00,IMPROVE_EXISTING_ADAPTER
Kaggle,data_science_competition,https://www.kaggle.com/competitions,public_platform,true,partial,true,false,true,true,unknown,true,true,medium,very_high,28,NEEDS_LIVE_VERIFICATION,NOT_BUILT,Competition model; only prioritize unusually favorable or guaranteed-payment tasks.,56.0,REACHABLE,200,2026-07-19T13:12:05.565590+00:00,BACKLOG
HeroX,innovation_challenge,https://www.herox.com,public_platform,true,partial,true,false,true,unknown,unknown,partial,true,medium,high,30,NEEDS_LIVE_VERIFICATION,NOT_BUILT,Innovation challenges; reject speculative and winner-only tasks by default.,55.0,REACHABLE,200,2026-07-19T13:12:09.944823+00:00,BACKLOG
DrivenData,data_science_competition,https://www.drivendata.org/competitions,public_platform,true,partial,true,false,true,unknown,unknown,true,true,low,high,30,NEEDS_LIVE_VERIFICATION,NOT_BUILT,Competition model.,50.0,REACHABLE,200,2026-07-19T13:12:06.748383+00:00,BACKLOG
Zindi,data_science_competition,https://zindi.africa/competitions,public_platform,true,partial,true,false,true,unknown,unknown,true,partial,medium,high,32,NEEDS_LIVE_VERIFICATION,NOT_BUILT,Competition model.,49.0,REACHABLE,200,2026-07-19T13:12:07.890182+00:00,BACKLOG
EU Funding and Tenders,public_grant,https://ec.europa.eu/info/funding-tenders/opportunities/portal,public_portal,true,false,true,false,true,unknown,partial,partial,restricted,high,high,18,NEEDS_LIVE_VERIFICATION,NOT_BUILT,Eligibility and organization requirements must be checked before ranking.,40.0,REACHABLE,200,2026-07-19T13:12:12.702341+00:00,BACKLOG
Challenge.gov,public_innovation_challenge,https://www.challenge.gov,public_platform,true,partial,true,false,true,unknown,unknown,partial,partial,low,high,25,NEEDS_LIVE_VERIFICATION,NOT_BUILT,Validate nationality and eligibility restrictions.,37.0,REACHABLE,200,2026-07-19T13:12:10.952647+00:00,BACKLOG
